gene	exons
ENSFALG00000026323	E007
ENSFALG00000026776	E002
ENSFALG00000026808	E005
ENSFALG00000026956	E004
ENSFALG00000026978	E002
ENSFALG00000027384	E010,E014
ENSFALG00000027402	E003,E004
ENSFALG00000027471	E012
ENSFALG00000027625	E003
ENSFALG00000027640	E001,E006
ENSFALG00000027826	E001,E002
ENSFALG00000027837	E005
ENSFALG00000027955	E005
ENSFALG00000028083	E002,E004
ENSFALG00000028278	E003,E004
ENSFALG00000028383	E001
ENSFALG00000028430	E006
ENSFALG00000028646	E005
ENSFALG00000028875	E005
ENSFALG00000028897	E003
