cluster	genes
chrN00030:clu_9638_-	ENSFALG00000023211
chrN00030:clu_9639_-	ENSFALG00000023211
chrN00030:clu_9640_-	ENSFALG00000009901
chrN00030:clu_9684_-	ENSFALG00000010257
chrN00030:clu_9687_-	ENSFALG00000010257
chrN00031:clu_9770_-	ENSFALG00000011570
chrN00031:clu_9784_-	ENSFALG00000011727
chrN00031:clu_9815_+	ENSFALG00000011142
chrN00032:clu_10113_-	NA
chrN00032:clu_9925_+	ENSFALG00000023840
chrN00032:clu_9942_+	NA
chrN00032:clu_9964_+	ENSFALG00000008688
chrN00033:clu_10193_+	ENSFALG00000012146
chrN00033:clu_10245_+	ENSFALG00000012785
chrN00033:clu_10341_-	ENSFALG00000026250
chrN00033:clu_10410_-	ENSFALG00000012551
chrN00033:clu_10417_-	ENSFALG00000012641
chrN00035:clu_10570_-	ENSFALG00000002530
chrN00035:clu_10581_-	ENSFALG00000026680
chrN00036:clu_10764_-	ENSFALG00000013804
chrN00036:clu_10766_-	ENSFALG00000013815
chrN00036:clu_10779_-	ENSFALG00000013847
chrN00036:clu_10865_-	ENSFALG00000028995
chrN00036:clu_10946_+	ENSFALG00000013793
chrN00036:clu_10961_+	ENSFALG00000013828
chrN00036:clu_10967_+	ENSFALG00000013830
chrN00036:clu_10997_+	ENSFALG00000013933
chrN00038:clu_11379_-	ENSFALG00000025470
chrN00038:clu_11503_+	ENSFALG00000007654
chrN00038:clu_11597_+	ENSFALG00000008909
chrN00039:clu_11727_-	ENSFALG00000001697
chrN00039:clu_11798_+	ENSFALG00000001315
chrN00040:clu_12114_+	ENSFALG00000001106
chrN00040:clu_12137_+	ENSFALG00000001371
chrN00040:clu_12146_+	ENSFALG00000001378
chrN00041:clu_12309_-	ENSFALG00000011919
chrN00041:clu_12310_-	ENSFALG00000011919
chrN00042:clu_12358_+	ENSFALG00000003765
chrN00043:clu_12537_-	ENSFALG00000015022
chrN00043:clu_12569_-	ENSFALG00000007744
chrN00043:clu_12576_-	ENSFALG00000027423
chrN00043:clu_12579_-	ENSFALG00000007794
chrN00043:clu_12580_-	ENSFALG00000007794
chrN00043:clu_12606_+	ENSFALG00000007366
chrN00043:clu_12623_+	ENSFALG00000023535
chrN00044:clu_12804_+	ENSFALG00000002259
chrN00046:clu_13090_+	ENSFALG00000002467
chrN00046:clu_13113_+	ENSFALG00000002703
chrN00047:clu_13214_-	ENSFALG00000011680
chrN00047:clu_13343_+	ENSFALG00000024484
chrN00048:clu_13358_-	ENSFALG00000026098
chrN00049:clu_13489_+	ENSFALG00000023437
chrN00049:clu_13553_-	ENSFALG00000005197
chrN00049:clu_13564_-	ENSFALG00000005306
chrN00052:clu_14077_+	ENSFALG00000006283
chrN00052:clu_14132_+	ENSFALG00000026912
chrN00052:clu_14217_-	ENSFALG00000027969
chrN00053:clu_14429_-	ENSFALG00000003646
chrN00054:clu_14601_-	ENSFALG00000012167
chrN00054:clu_14603_-	ENSFALG00000012167
chrN00054:clu_14658_-	ENSFALG00000012727
chrN00056:clu_15009_+	NA
chrN00057:clu_15037_-	ENSFALG00000007855
chrN00057:clu_15126_+	ENSFALG00000002080
chrN00058:clu_15231_+	ENSFALG00000008884
chrN00058:clu_15232_+	ENSFALG00000008884
chrN00058:clu_15278_-	ENSFALG00000008979
chrN00058:clu_15280_-	ENSFALG00000008979
chrN00059:clu_15373_-	ENSFALG00000004862
chrN00061:clu_15540_+	ENSFALG00000000153
chrN00061:clu_15541_+	ENSFALG00000000153
chrN00061:clu_15548_+	ENSFALG00000000223
chrN00061:clu_15555_+	ENSFALG00000000228
chrN00062:clu_15630_-	ENSFALG00000012432
chrN00063:clu_15731_-	ENSFALG00000026353
chrN00063:clu_15780_-	ENSFALG00000010814
chrN00064:clu_15905_+	ENSFALG00000006411
chrN00064:clu_16011_-	ENSFALG00000006369
chrN00066:clu_16170_+	ENSFALG00000004845
chrN00066:clu_16211_-	ENSFALG00000025934
chrN00067:clu_16322_-	NA
chrN00068:clu_16575_-	NA
chrN00068:clu_16576_-	ENSFALG00000000785
chrN00068:clu_16596_-	NA
chrN00069:clu_16647_+	ENSFALG00000001861
chrN00069:clu_16677_+	ENSFALG00000001906
chrN00071:clu_16891_+	ENSFALG00000001931
chrN00072:clu_17063_-	ENSFALG00000002311
chrN00073:clu_17109_-	ENSFALG00000005744
chrN00073:clu_17112_-	ENSFALG00000005765
chrN00075:clu_17397_-	ENSFALG00000002514
chrN00075:clu_17489_+	ENSFALG00000002448
chrN00075:clu_17490_+	ENSFALG00000002448
chrN00075:clu_17492_+	ENSFALG00000002482
chrN00075:clu_17568_+	ENSFALG00000003600
chrN00075:clu_17569_+	ENSFALG00000003600
chrN00077:clu_17684_+	NA
chrN00077:clu_17697_+	ENSFALG00000010986
chrN00077:clu_17704_+	ENSFALG00000024268
chrN00077:clu_17705_+	ENSFALG00000024268
chrN00077:clu_17722_-	ENSFALG00000025067,ENSFALG00000010755
chrN00078:clu_17787_-	ENSFALG00000006707
chrN00078:clu_17789_-	ENSFALG00000027375
chrN00079:clu_17835_-	ENSFALG00000001515
chrN00081:clu_18071_+	ENSFALG00000005023
chrN00082:clu_18147_-	ENSFALG00000004521
chrN00084:clu_18230_+	ENSFALG00000013103
chrN00085:clu_18364_-	ENSFALG00000023214
chrN00087:clu_18512_-	ENSFALG00000028464
chrN00089:clu_18823_-	ENSFALG00000004685
chrN00089:clu_18843_-	ENSFALG00000004892
chrN00089:clu_18872_-	ENSFALG00000005312
chrN00092:clu_19061_+	NA
chrN00092:clu_19092_+	ENSFALG00000013636
chrN00092:clu_19094_+	NA
chrN00093:clu_19165_+	ENSFALG00000004276
chrN00094:clu_19273_-	NA
chrN00095:clu_19352_-	ENSFALG00000010240
chrN00098:clu_19562_+	ENSFALG00000002387
chrN00099:clu_19627_-	ENSFALG00000005442
chrN00099:clu_19648_-	ENSFALG00000005639
chrN00101:clu_19733_+	ENSFALG00000003547
chrN00101:clu_19789_-	ENSFALG00000003553
chrN00102:clu_19824_-	ENSFALG00000003176
chrN00105:clu_20061_+	ENSFALG00000011040
chrN00106:clu_20120_-	ENSFALG00000011367
chrN00106:clu_20148_+	ENSFALG00000024976
chrN00109:clu_20277_+	ENSFALG00000001173
chrN00109:clu_20289_+	ENSFALG00000001245
chrN00109:clu_20301_-	ENSFALG00000001223
chrN00110:clu_20327_-	ENSFALG00000000529
chrN00110:clu_20329_-	ENSFALG00000000529
chrN00110:clu_20340_-	NA
chrN00110:clu_20371_+	ENSFALG00000000591
chrN00110:clu_20386_+	ENSFALG00000000621
chrN00112:clu_20453_-	ENSFALG00000019928
chrN00113:clu_20553_+	ENSFALG00000012544
chrN00118:clu_20933_+	ENSFALG00000014000
chrN00119:clu_20941_-	ENSFALG00000009023
chrN00119:clu_20965_-	ENSFALG00000028020
chrN00120:clu_21017_+	ENSFALG00000001000
chrN00124:clu_21165_+	ENSFALG00000002953
chrN00124:clu_21177_+	ENSFALG00000003094
chrN00131:clu_21510_-	ENSFALG00000003233
chrN00131:clu_21514_-	ENSFALG00000003400
chrN00133:clu_21642_+	ENSFALG00000003939
chrN00134:clu_21716_-	ENSFALG00000028013
chrN00140:clu_22009_+	ENSFALG00000024209
chrN00142:clu_22089_+	ENSFALG00000000121
chrN00142:clu_22094_+	ENSFALG00000000150
chrN00144:clu_22129_+	ENSFALG00000025286
chrN00144:clu_22131_+	NA
chrN00144:clu_22132_+	NA
chrN00144:clu_22160_+	ENSFALG00000005579
chrN00144:clu_22193_-	ENSFALG00000005132
chrN00144:clu_22212_-	NA
chrN00146:clu_22315_+	ENSFALG00000004012
chrN00154:clu_22584_+	ENSFALG00000007350,ENSFALG00000007353
chrN00156:clu_22660_-	ENSFALG00000002524
chrN00156:clu_22668_-	ENSFALG00000002601
chrN00156:clu_22718_+	ENSFALG00000002645
chrN00158:clu_22801_-	ENSFALG00000028846
chrN00158:clu_22802_-	ENSFALG00000028846
chrN00159:clu_22834_-	ENSFALG00000024589
chrN00159:clu_22836_-	ENSFALG00000006662
chrN00160:clu_22900_+	ENSFALG00000012434
chrN00160:clu_22956_-	ENSFALG00000012502
chrN00161:clu_22996_+	ENSFALG00000000180
chrN00161:clu_23028_-	ENSFALG00000000204
chrN00162:clu_23048_+	ENSFALG00000011707
chrN00162:clu_23081_+	ENSFALG00000012530
chrN00162:clu_23098_-	NA
chrN00165:clu_23196_-	ENSFALG00000012688
chrN00167:clu_23324_-	ENSFALG00000004401
chrN00171:clu_23541_-	NA
chrN00178:clu_23776_+	ENSFALG00000001707
chrN00181:clu_23806_-	ENSFALG00000000461
chrN00181:clu_23808_-	ENSFALG00000000461
chrN00183:clu_23888_+	NA
chrN00183:clu_23894_+	ENSFALG00000024507
chrN00183:clu_23904_+	ENSFALG00000027380
chrN00187:clu_24044_-	ENSFALG00000011787
chrN00189:clu_24104_+	ENSFALG00000009378
chrN00189:clu_24150_-	ENSFALG00000009547
chrN00189:clu_24151_-	ENSFALG00000009547
chrN00190:clu_24195_+	ENSFALG00000008126
chrN00190:clu_24224_+	ENSFALG00000008420
chrN00194:clu_24428_+	ENSFALG00000000978
chrN00197:clu_24598_+	ENSFALG00000000997
chrN00197:clu_24621_-	ENSFALG00000001045
chrN00198:clu_24645_-	ENSFALG00000002900
chrN00198:clu_24652_-	ENSFALG00000002924
chrN00199:clu_24664_-	NA
chrN00205:clu_24840_+	ENSFALG00000005843
chrN00206:clu_24863_+	ENSFALG00000028954
chrN00210:clu_24948_-	ENSFALG00000000628
chrN00210:clu_25001_+	ENSFALG00000023807
chrN00210:clu_25006_+	ENSFALG00000000677
chrN00210:clu_25009_+	ENSFALG00000000706
chrN00210:clu_25031_+	ENSFALG00000000804
chrN00213:clu_25110_+	ENSFALG00000027325
chrN00216:clu_25206_-	ENSFALG00000002244
chrN00216:clu_25207_-	ENSFALG00000002244
chrN00216:clu_25208_-	ENSFALG00000002244
chrN00218:clu_25256_+	ENSFALG00000000255
chrN00226:clu_25444_-	ENSFALG00000000412
chrN00229:clu_25571_-	ENSFALG00000001059
chrN00229:clu_25605_+	ENSFALG00000001194
chrN00232:clu_25718_-	ENSFALG00000003726
chrN00232:clu_25751_+	ENSFALG00000023686
chrN00233:clu_25784_-	ENSFALG00000001979
chrN00235:clu_25821_+	ENSFALG00000005782
chrN00237:clu_25907_-	ENSFALG00000010031
chrN00245:clu_26067_+	ENSFALG00000008097
chrN00247:clu_26106_+	ENSFALG00000024650
chrN00249:clu_26130_-	NA
chrN00249:clu_26142_+	ENSFALG00000009578
chrN00249:clu_26149_+	ENSFALG00000009619
chrN00251:clu_26231_-	NA
chrN00258:clu_26360_+	ENSFALG00000000833
chrN00259:clu_26374_-	ENSFALG00000024187,ENSFALG00000012723
chrN00261:clu_26403_-	NA
chrN00269:clu_26542_-	ENSFALG00000028253
chrN00285:clu_26773_+	ENSFALG00000000904
chrN00285:clu_26784_+	ENSFALG00000000950
chrN00291:clu_26875_+	NA
chrN00294:clu_26902_-	NA
chrN00296:clu_26937_-	ENSFALG00000000896
chrN00298:clu_26963_-	NA
chrN00299:clu_27006_+	ENSFALG00000003648
chrN00304:clu_27065_+	ENSFALG00000000580
chrN00316:clu_27241_-	NA
chrN00333:clu_27407_+	ENSFALG00000008183
chrN00338:clu_27454_-	ENSFALG00000027742
chrN00347:clu_27556_+	ENSFALG00000001181
chrN00351:clu_27607_-	NA
chrN00362:clu_27663_-	NA
chrN00378:clu_27751_-	NA
chrN00381:clu_27774_+	NA
chrN00385:clu_27791_+	ENSFALG00000010708
chrN00385:clu_27796_-	ENSFALG00000010750
chrN00385:clu_27797_-	ENSFALG00000010750
chrN00389:clu_27815_-	NA
chrN00416:clu_27911_-	ENSFALG00000008807
chrN00423:clu_27940_+	NA
chrN00423:clu_27941_+	NA
chrN00431:clu_27954_-	NA
chrN00702:clu_28262_-	NA
chrN00702:clu_28263_-	NA
chrN00705:clu_28265_-	NA
chrN00760:clu_28309_+	NA
chrN00763:clu_28311_-	NA
chrN00871:clu_28346_+	NA
chrN01242:clu_28404_+	NA
chrN01242:clu_28406_+	NA
chrN01278:clu_28414_-	NA
chrN01333:clu_28440_-	NA
chrN01360:clu_28452_+	NA
chrN06340:clu_28499_-	NA
chrN06340:clu_28500_-	NA
