intron	logef	Ficedula_hypoleuca	F1_hybrid	deltapsi
chrN00001:12950400:12950933:clu_104_+	0.393948146387508	0.973333443752377	0.987693110529861	0.0143596667774846
chrN00001:12950400:12950936:clu_104_+	-0.393948146387508	0.0266665562476233	0.0123068894701389	-0.0143596667774845
chrN00001:12951174:12952599:clu_105_+	-0.0366106838399314	0.98526802387798	0.984166575151902	-0.0011014487260782
chrN00001:12951174:12952696:clu_105_+	0.0366106838399314	0.0147319761220201	0.0158334248480982	0.00110144872607814
chrN00001:12952764:12953744:clu_106_+	-0.419141934305195	0.996600844622027	0.992174718291504	-0.00442612633052364
chrN00001:12952764:12953784:clu_106_+	0.419141934305195	0.00339915537797247	0.0078252817084962	0.00442612633052373
chrN00001:2844792:2845842:clu_11_+	-0.112221122894659	0.0245271711456607	0.0196933768937597	-0.00483379425190097
chrN00001:2844792:2914978:clu_11_+	0.112221122894659	0.975472828854339	0.98030662310624	0.004833794251901
chrN00001:14417422:14420338:clu_111_+	8.71464135333411	0.988818937975424	0.999999999695263	0.0111810617198392
chrN00001:14420154:14420338:clu_111_+	-8.71464135333411	0.011181062024576	3.04736852777387e-10	-0.0111810617198391
chrN00001:14420514:14424099:clu_112_+	-0.0131321897075709	0.406245228152479	0.399925920063913	-0.00631930808856601
chrN00001:14420514:14424102:clu_112_+	0.0131321897075709	0.593754771847521	0.600074079936087	0.00631930808856607
chrN00001:14428211:14428683:clu_113_+	0.414156298529328	0.0286047801884334	0.0631596658001655	0.034554885611732
chrN00001:14428211:14428692:clu_113_+	-0.414156298529328	0.971395219811567	0.936840334199834	-0.034554885611732
chrN00001:14543366:14567093:clu_115_+	-0.631887258272061	0.622105714142059	0.468051292216866	-0.154054421925193
chrN00001:14543366:14595586:clu_115_+	-0.396394753437367	0.15903756394017	0.151426564140734	-0.00761099979943616
chrN00001:14567183:14595586:clu_115_+	-0.115180196216042	0.185998357100874	0.234607230169126	0.0486088730682522
chrN00001:14567261:14595586:clu_115_+	1.14346220792547	0.0328583648168971	0.145914913473274	0.113056548656377
chrN00001:14624375:14628873:clu_116_+	-0.357246825546541	0.139261564250757	0.0733773986765678	-0.0658841655741893
chrN00001:14624375:14628876:clu_116_+	0.357246825546541	0.860738435749243	0.926622601323432	0.0658841655741892
chrN00001:14655813:14674474:clu_117_+	-0.293578155177199	0.707675993144092	0.652449087542894	-0.0552269056011983
chrN00001:14658431:14674474:clu_117_+	-0.32198976174837	0.230853200647911	0.206875500230677	-0.0239777004172348
chrN00001:14667699:14674474:clu_117_+	0.615567916925569	0.0614708062079966	0.14067541222643	0.079204606018433
chrN00001:2942814:2949480:clu_12_+	-0.768381669243437	0.995289980758722	0.978470758066127	-0.0168192226925951
chrN00001:2942814:2949484:clu_12_+	0.768381669243437	0.00471001924127805	0.0215292419338732	0.0168192226925951
chrN00001:15394444:15478601:clu_120_+	0.193906854835101	0.134873613609775	0.156545048788164	0.0216714351783892
chrN00001:15394444:15526015:clu_120_+	0.054213168374783	0.752101120699263	0.759137388289626	0.00703626759036358
chrN00001:15478642:15526015:clu_120_+	-0.248120023209884	0.113025265690962	0.0843175629222091	-0.0287077027687529
chrN00001:15584447:15592543:clu_121_+	0.153475108427163	0.113614369513783	0.14837645803912	0.0347620885253373
chrN00001:15584453:15592543:clu_121_+	-0.153475108427163	0.886385630486217	0.85162354196088	-0.0347620885253372
chrN00001:15592652:15593410:clu_122_+	0.197284318476557	0.340105554156498	0.322261654050091	-0.0178439001064073
chrN00001:15592652:15600955:clu_122_+	-0.506787195888623	0.0368421111194151	0.0172649387539675	-0.0195771723654476
chrN00001:15593568:15600955:clu_122_+	0.309502877412065	0.623052334724086	0.660473407195941	0.0374210724718548
chrN00001:15787930:15797333:clu_123_+	0.148022366031986	0.682505416620795	0.742949294988702	0.0604438783679069
chrN00001:15787942:15797333:clu_123_+	-0.148022366031986	0.317494583379205	0.257050705011298	-0.0604438783679068
chrN00001:15797491:15808823:clu_124_+	0.0545533065493288	0.334736252292874	0.339463997004733	0.00472774471185849
chrN00001:15797491:15808922:clu_124_+	0.00812378684119743	0.00806233300862242	0.00780526440069648	-0.000257068607925939
chrN00001:15797491:15812631:clu_124_+	-0.518575935225341	0.0141880176550006	0.00811158688065086	-0.00607643077434976
chrN00001:15797491:15818266:clu_124_+	0.0123982944548215	0.0128386783620127	0.012482558234526	-0.000356120127486745
chrN00001:15808848:15812631:clu_124_+	0.378451208675685	0.0396374047218293	0.0555729247300145	0.0159355200081852
chrN00001:15808960:15812631:clu_124_+	-0.112452756938883	0.348735992279162	0.299266380797211	-0.0494696114819511
chrN00001:15816458:15818266:clu_124_+	0.177502095643191	0.241801321680499	0.277297287952169	0.0354959662716697
chrN00001:15820900:15829222:clu_125_+	-0.167222366595202	0.962458241524625	0.948318575542623	-0.0141396659820027
chrN00001:15820900:15829267:clu_125_+	0.167222366595202	0.0375417584753748	0.0516814244573774	0.0141396659820027
chrN00001:15921358:15921908:clu_127_+	-0.209253940865278	0.0781126792590042	0.066574661615324	-0.0115380176436803
chrN00001:15921358:15924026:clu_127_+	-0.123793718966313	0.777517388510255	0.721792635461744	-0.0557247530485108
chrN00001:15922028:15924026:clu_127_+	0.333047659831591	0.144369932230741	0.211632702922932	0.0672627706921911
chrN00001:15934479:15935789:clu_128_+	-0.627503295191092	0.992963252219974	0.975744111671206	-0.0172191405487674
chrN00001:15934479:15938063:clu_128_+	0.627503295191092	0.00703674778002612	0.0242558883287935	0.0172191405487674
chrN00001:16052017:16052137:clu_134_+	0.161046229666099	0.0590958399753856	0.0797617679113406	0.020665927935955
chrN00001:16052017:16052164:clu_134_+	-0.161046229666099	0.940904160024614	0.920238232088659	-0.020665927935955
chrN00001:16052277:16053529:clu_135_+	0.862502311410017	0.0023247813057806	0.0064587565471698	0.00413397524138921
chrN00001:16052277:16053846:clu_135_+	-0.16066095045784	0.991001087944403	0.989661743991813	-0.00133934395258983
chrN00001:16053565:16053846:clu_135_+	-0.701841360952177	0.00667413074981645	0.00387949946101717	-0.00279463128879928
chrN00001:16191778:16192649:clu_136_+	-0.313872819956228	0.153888065547952	0.0884933235313566	-0.0653947420165956
chrN00001:16191778:16200813:clu_136_+	0.313872819956228	0.846111934452048	0.911506676468643	0.0653947420165958
chrN00001:16240211:16252418:clu_140_+	-4.22527046543839	0.988137397145356	0.951509559037112	-0.0366278381082439
chrN00001:16248557:16252418:clu_140_+	-4.22527046543839	0.0118624825272404	0.0114227692942175	-0.000439713233022918
chrN00001:16248909:16252418:clu_140_+	8.45054093087679	1.20327403353715e-07	0.0370676716686701	0.0370675513412668
chrN00001:16259734:16260892:clu_141_+	4.95704986842627	0.00793543468550725	0.0023237615255079	-0.00561167315999935
chrN00001:16259734:16261676:clu_141_+	6.19825560598694	0.984736397790973	0.997676238258663	0.0129398404676906
chrN00001:16261018:16261676:clu_141_+	-11.1553054744132	0.00732816752351996	2.15828706716891e-10	-0.00732816730769126
chrN00001:16270503:16271382:clu_142_+	0.374370288835823	0.980867452253532	0.990858859634844	0.00999140738131188
chrN00001:16270503:16276747:clu_142_+	-0.374370288835823	0.0191325477464683	0.00914114036515634	-0.00999140738131196
chrN00001:16684268:16685912:clu_148_+	0.140993916219054	0.656503845591606	0.717022629029154	0.0605187834375477
chrN00001:16686251:16686874:clu_148_+	-0.140993916219054	0.343496154408394	0.282977370970846	-0.0605187834375477
chrN00001:16948369:16977642:clu_152_+	0.0798995275847168	0.128928786327789	0.108047988180998	-0.0208807981467913
chrN00001:16948369:17001860:clu_152_+	0.46213112482279	0.200628539429321	0.246411274735905	0.0457827353065839
chrN00001:16948369:17029070:clu_152_+	-0.364609522544876	0.0287203460167758	0.0154315173223589	-0.0132888286944169
chrN00001:16968437:16977642:clu_152_+	-0.924913820719103	0.0265657466665132	0.00815086921606776	-0.0184148774504454
chrN00001:16968437:17001860:clu_152_+	0.257406881610584	0.0597095244191005	0.0597586622497622	4.91378306617038e-05
chrN00001:16977703:17001860:clu_152_+	0.202037837798222	0.129355809267708	0.122488896438117	-0.00686691282959083
chrN00001:17001957:17029070:clu_152_+	0.288047971447667	0.426091247872792	0.439710791856791	0.0136195439839987
chrN00001:17029114:17030378:clu_153_+	-0.0549526106182444	0.940109315493747	0.933613571045535	-0.00649574444821199
chrN00001:17029114:17030382:clu_153_+	0.0549526106182445	0.0598906845062532	0.0663864289544651	0.00649574444821194
chrN00001:18479784:18480329:clu_157_+	-0.0283966312982656	0.536828008486322	0.522680934269616	-0.0141470742167055
chrN00001:18479847:18480329:clu_157_+	0.0283966312982656	0.463171991513678	0.477319065730384	0.0141470742167055
chrN00001:18481864:18486392:clu_158_+	0.104011314199998	0.161954889615857	0.168073451753813	0.00611856213795672
chrN00001:18481864:18486410:clu_158_+	0.107281210924361	0.695013517659795	0.723633067704565	0.0286195500447695
chrN00001:18481864:18486413:clu_158_+	-0.211292525124359	0.143031592724348	0.108293480541622	-0.0347381121827261
chrN00001:18486531:18491167:clu_159_+	0.143734062160265	0.384850702703766	0.403950974198183	0.0191002714944168
chrN00001:18486531:18491170:clu_159_+	-0.154707903974917	0.0495031189782565	0.0385529166805552	-0.0109502022977013
chrN00001:18486531:18493300:clu_159_+	-0.0889375132600082	0.0622771507965656	0.0517984936081273	-0.0104786571884383
chrN00001:18491247:18493300:clu_159_+	0.0999113550746605	0.503369027521412	0.505697615513135	0.00232858799172286
