groupID	featureID
ENSFALG00000004462	E004
ENSFALG00000004462	E005
ENSFALG00000004547	E008
ENSFALG00000004547	E009
ENSFALG00000004623	E001
ENSFALG00000004623	E003
ENSFALG00000004623	E004
ENSFALG00000004623	E005
ENSFALG00000004625	E001
ENSFALG00000004625	E003
ENSFALG00000004685	E003
ENSFALG00000004686	E013
ENSFALG00000004686	E014
ENSFALG00000004686	E015
ENSFALG00000004722	E014
ENSFALG00000004765	E001
ENSFALG00000004765	E007
ENSFALG00000004844	E012
ENSFALG00000004864	E005
ENSFALG00000004864	E006
ENSFALG00000004864	E007
ENSFALG00000004867	E010
ENSFALG00000004880	E009
ENSFALG00000004887	E012
ENSFALG00000004887	E014
ENSFALG00000004899	E006
ENSFALG00000004916	E003
ENSFALG00000004926	E004
ENSFALG00000004926	E011
ENSFALG00000004934	E030
ENSFALG00000004965	E001
ENSFALG00000004984	E001
ENSFALG00000004984	E011
ENSFALG00000004991	E012
ENSFALG00000005059	E001
ENSFALG00000005089	E003
ENSFALG00000005093	E003
ENSFALG00000005107	E002
ENSFALG00000005112	E003
ENSFALG00000005112	E009
ENSFALG00000005117	E026
ENSFALG00000005146	E020
ENSFALG00000005217	E002
ENSFALG00000005217	E014
ENSFALG00000005245	E002
ENSFALG00000005252	E005
ENSFALG00000005307	E009
ENSFALG00000005307	E011
ENSFALG00000005307	E012
ENSFALG00000005307	E013
ENSFALG00000005312	E002
ENSFALG00000005312	E003
ENSFALG00000005312	E006
ENSFALG00000005348	E009
ENSFALG00000005360	E017
ENSFALG00000005367	E015
ENSFALG00000005368	E001
ENSFALG00000005370	E012
ENSFALG00000005381	E001
ENSFALG00000005381	E002
ENSFALG00000005384	E006
ENSFALG00000005393	E003
ENSFALG00000005394	E015
ENSFALG00000005435	E017
ENSFALG00000005439	E013
ENSFALG00000005444	E013
ENSFALG00000005447	E003
ENSFALG00000005463	E018
ENSFALG00000005463	E019
ENSFALG00000005463	E020
ENSFALG00000005463	E022
ENSFALG00000005463	E023
ENSFALG00000005475	E009
ENSFALG00000005517	E084
ENSFALG00000005528	E002
ENSFALG00000005528	E017
ENSFALG00000005557	E008
ENSFALG00000005626	E006
ENSFALG00000005658	E008
ENSFALG00000005679	E001
ENSFALG00000005683	E032
ENSFALG00000005683	E033
ENSFALG00000005744	E001
ENSFALG00000005744	E009
ENSFALG00000005746	E008
ENSFALG00000005748	E003
ENSFALG00000005748	E006
ENSFALG00000005772	E002
ENSFALG00000005772	E019
ENSFALG00000005801	E003
ENSFALG00000005809	E005
ENSFALG00000005838	E002
ENSFALG00000005847	E004
ENSFALG00000005856	E009
ENSFALG00000005899	E002
ENSFALG00000005907	E009
ENSFALG00000005937	E004
ENSFALG00000005961	E003
ENSFALG00000005979	E004
ENSFALG00000005994	E002
ENSFALG00000006014	E007
ENSFALG00000006019	E007
ENSFALG00000006063	E007
ENSFALG00000006070	E002
ENSFALG00000006084	E008
ENSFALG00000006089	E005
ENSFALG00000006176	E012
ENSFALG00000006192	E008
ENSFALG00000006204	E013
ENSFALG00000006254	E015
ENSFALG00000006344	E013
ENSFALG00000006362	E006
ENSFALG00000006362	E007
ENSFALG00000006362	E010
ENSFALG00000006362	E012
ENSFALG00000006393	E001
ENSFALG00000006393	E008
ENSFALG00000006408	E001
ENSFALG00000006408	E005
ENSFALG00000006419	E007
ENSFALG00000006446	E002
ENSFALG00000006603	E010
ENSFALG00000006660	E021
ENSFALG00000006664	E003
ENSFALG00000006664	E004
ENSFALG00000006675	E004
ENSFALG00000006676	E019
ENSFALG00000006758	E008
ENSFALG00000006785	E013
ENSFALG00000006845	E001
ENSFALG00000006845	E002
ENSFALG00000006892	E008
ENSFALG00000006910	E009
ENSFALG00000006932	E002
ENSFALG00000006936	E010
ENSFALG00000006954	E035
ENSFALG00000007009	E002
ENSFALG00000007009	E003
ENSFALG00000007009	E015
ENSFALG00000007038	E002
ENSFALG00000007068	E001
ENSFALG00000007068	E007
ENSFALG00000007089	E010
ENSFALG00000007121	E008
ENSFALG00000007145	E003
ENSFALG00000007225	E016
ENSFALG00000007229	E001
ENSFALG00000007229	E008
ENSFALG00000007229	E010
ENSFALG00000007235	E001
ENSFALG00000007235	E003
ENSFALG00000007241	E006
ENSFALG00000007241	E022
ENSFALG00000007257	E013
ENSFALG00000007258	E007
ENSFALG00000007274	E016
ENSFALG00000007274	E028
ENSFALG00000007324	E001
ENSFALG00000007324	E007
ENSFALG00000007325	E009
ENSFALG00000007348	E023
ENSFALG00000007350	E005
ENSFALG00000007401	E024
ENSFALG00000007402	E011
ENSFALG00000007407	E005
ENSFALG00000007408	E016
ENSFALG00000007475	E002
ENSFALG00000007507	E022
ENSFALG00000007534	E019
ENSFALG00000007536	E003
ENSFALG00000007536	E004
ENSFALG00000007536	E005
ENSFALG00000007536	E006
ENSFALG00000007538	E007
ENSFALG00000007607	E002
ENSFALG00000007607	E009
ENSFALG00000007607	E013
ENSFALG00000007607	E014
ENSFALG00000007633	E002
ENSFALG00000007682	E007
ENSFALG00000007692	E011
ENSFALG00000007700	E002
ENSFALG00000007700	E004
ENSFALG00000007705	E020
ENSFALG00000007800	E014
ENSFALG00000007802	E011
ENSFALG00000007828	E001
ENSFALG00000007847	E011
ENSFALG00000007851	E002
ENSFALG00000007855	E005
ENSFALG00000007855	E006
ENSFALG00000007879	E003
ENSFALG00000007938	E006
ENSFALG00000007940	E065
ENSFALG00000008002	E006
ENSFALG00000008009	E001
ENSFALG00000008045	E002
ENSFALG00000008055	E007
ENSFALG00000008064	E002
ENSFALG00000008126	E010
ENSFALG00000008161	E016
ENSFALG00000008171	E012
ENSFALG00000008180	E002
ENSFALG00000008184	E010
ENSFALG00000008211	E001
ENSFALG00000008211	E014
ENSFALG00000008217	E002
ENSFALG00000008217	E012
ENSFALG00000008230	E003
ENSFALG00000008285	E016
ENSFALG00000008311	E020
ENSFALG00000008312	E001
ENSFALG00000008312	E005
ENSFALG00000008342	E039
ENSFALG00000008342	E060
ENSFALG00000008353	E003
ENSFALG00000008354	E006
ENSFALG00000008362	E001
ENSFALG00000008377	E001
ENSFALG00000008388	E005
ENSFALG00000008483	E024
ENSFALG00000008500	E005
ENSFALG00000008528	E013
ENSFALG00000008547	E042
ENSFALG00000008576	E002
ENSFALG00000008584	E005
ENSFALG00000008609	E002
ENSFALG00000008635	E008
ENSFALG00000008645	E004
ENSFALG00000008674	E008
ENSFALG00000008709	E002
ENSFALG00000008750	E004
ENSFALG00000008802	E016
ENSFALG00000008820	E005
ENSFALG00000008825	E008
ENSFALG00000008825	E036
ENSFALG00000008835	E014
ENSFALG00000008857	E004
ENSFALG00000008923	E019
ENSFALG00000008928	E004
ENSFALG00000008938	E010
ENSFALG00000008951	E001
ENSFALG00000008953	E002
ENSFALG00000008967	E016
ENSFALG00000008978	E003
ENSFALG00000009020	E001
ENSFALG00000009026	E004
ENSFALG00000009048	E003
ENSFALG00000009056	E001
ENSFALG00000009056	E008
ENSFALG00000009066	E017
ENSFALG00000009072	E018
ENSFALG00000009103	E003
ENSFALG00000009135	E017
ENSFALG00000009148	E001
ENSFALG00000009148	E004
ENSFALG00000009169	E007
ENSFALG00000009197	E009
ENSFALG00000009225	E003
ENSFALG00000009282	E022
ENSFALG00000009307	E002
ENSFALG00000009360	E029
ENSFALG00000009470	E002
ENSFALG00000009470	E008
ENSFALG00000009508	E020
ENSFALG00000009549	E001
ENSFALG00000009563	E006
ENSFALG00000009578	E002
ENSFALG00000009629	E003
ENSFALG00000009652	E001
ENSFALG00000009709	E004
ENSFALG00000009733	E003
ENSFALG00000009743	E005
ENSFALG00000009780	E006
ENSFALG00000009802	E001
ENSFALG00000009802	E017
ENSFALG00000009813	E012
ENSFALG00000009830	E006
ENSFALG00000009831	E005
ENSFALG00000009837	E006
ENSFALG00000009844	E009
ENSFALG00000009846	E015
ENSFALG00000009851	E003
ENSFALG00000009863	E005
ENSFALG00000009869	E002
ENSFALG00000009928	E001
ENSFALG00000009935	E031
ENSFALG00000009938	E026
ENSFALG00000009961	E009
ENSFALG00000009973	E004
ENSFALG00000009973	E010
ENSFALG00000009973	E011
ENSFALG00000009997	E036
ENSFALG00000010009	E022
ENSFALG00000010022	E001
ENSFALG00000010022	E004
ENSFALG00000010022	E006
ENSFALG00000010022	E007
ENSFALG00000010022	E009
ENSFALG00000010022	E018
ENSFALG00000010059	E017
ENSFALG00000010061	E003
ENSFALG00000010121	E001
ENSFALG00000010145	E007
ENSFALG00000010169	E016
ENSFALG00000010230	E008
ENSFALG00000010260	E003
ENSFALG00000010329	E012
ENSFALG00000010342	E006
ENSFALG00000010394	E001
ENSFALG00000010394	E012
ENSFALG00000010404	E024
ENSFALG00000010434	E003
ENSFALG00000010466	E008
ENSFALG00000010488	E006
ENSFALG00000010491	E011
ENSFALG00000010524	E002
ENSFALG00000010524	E004
