genes	clusters
ENSFALG00000009092	chrN00003:clu_1360_-
ENSFALG00000009266	chrN00003:clu_1232_+
ENSFALG00000009547	chrN00189:clu_24150_-,chrN00189:clu_24151_-
ENSFALG00000009638	chrN00034:clu_10483_+
ENSFALG00000009686	chrN00008:clu_3547_+
ENSFALG00000009723	chrN00008:clu_3390_-
ENSFALG00000009828	chrN00002:clu_849_+
ENSFALG00000009829	chrN00056:clu_14826_-
ENSFALG00000009971	chrN00034:clu_10469_-
ENSFALG00000010073	chrN00030:clu_9532_+
ENSFALG00000010145	chrN00008:clu_3456_-
ENSFALG00000010195	chrN00037:clu_11191_+
ENSFALG00000010222	chrN00030:clu_9549_+
ENSFALG00000010257	chrN00030:clu_9683_-
ENSFALG00000010282	chrN00111:clu_20426_+
ENSFALG00000010308	chrN00037:clu_11309_-
ENSFALG00000010626	chrN00002:clu_942_+
ENSFALG00000010637	chrN00056:clu_15020_+
ENSFALG00000010711	chrN00139:clu_21927_-
ENSFALG00000010755	chrN00077:clu_17722_-
ENSFALG00000010814	chrN00063:clu_15779_-
ENSFALG00000011040	chrN00105:clu_20061_+
ENSFALG00000011172	chrN00191:clu_24252_-
ENSFALG00000011324	chrN00018:clu_6849_+
ENSFALG00000011337	chrN00106:clu_20119_-
ENSFALG00000011348	chrN00074:clu_17338_-
ENSFALG00000011734	chrN00162:clu_23049_+
ENSFALG00000011786	chrN00145:clu_22253_-
ENSFALG00000011921	chrN00018:clu_6778_-
ENSFALG00000011942	chrN00031:clu_9898_+,chrN00031:clu_9899_+
ENSFALG00000011980	chrN00002:clu_1070_+
ENSFALG00000012103	chrN00001:clu_375_-
ENSFALG00000012195	chrN00002:clu_759_-
ENSFALG00000012307	chrN00062:clu_15607_-
ENSFALG00000012345	chrN00199:clu_24686_+
ENSFALG00000012373	chrN00011:clu_4224_+
ENSFALG00000012375	chrN00033:clu_10386_-
ENSFALG00000012619	chrN00021:clu_7631_-,chrN00021:clu_7632_-,chrN00021:clu_7635_-
ENSFALG00000012689	chrN00176:clu_23692_+
ENSFALG00000013192	chrN00021:clu_7669_-
ENSFALG00000013219	chrN00135:clu_21780_+
ENSFALG00000013316	chrN00084:clu_18259_+
ENSFALG00000013486	chrN00001:clu_511_-,chrN00001:clu_512_-
ENSFALG00000013492	chrN00009:clu_3719_-
ENSFALG00000013546	chrN00100:clu_19665_+
ENSFALG00000013563	chrN00092:clu_19015_-,chrN00092:clu_19016_-
ENSFALG00000013616	chrN00092:clu_19084_+
ENSFALG00000013724	chrN00016:clu_6233_+
ENSFALG00000013773	chrN00036:clu_10941_+
ENSFALG00000013849	chrN00118:clu_20827_-
ENSFALG00000013902	chrN00118:clu_20915_+
ENSFALG00000013967	chrN00036:clu_11014_+
ENSFALG00000014031	chrN00036:clu_10878_-
ENSFALG00000014037	chrN00036:clu_10885_-
ENSFALG00000022897	chrN00024:clu_8246_+
ENSFALG00000023421	chrN00027:clu_8818_-
ENSFALG00000023831	chrN00196:clu_24534_+
ENSFALG00000023837	chrN00152:clu_22536_-
ENSFALG00000024033	chrN00234:clu_25814_-
ENSFALG00000024159	chrN00015:clu_5969_-
ENSFALG00000024242	chrN00110:clu_20390_+
ENSFALG00000024255	chrN00006:clu_2674_+
ENSFALG00000024482	chrN00039:clu_11754_-
ENSFALG00000024628	chrN00301:clu_27026_-
ENSFALG00000024713	chrN00346:clu_27524_+
ENSFALG00000024799	chrN00025:clu_8380_-
ENSFALG00000024923	chrN00227:clu_25476_+
ENSFALG00000025067	chrN00077:clu_17722_-
ENSFALG00000025250	chrN00105:clu_20068_-
ENSFALG00000025307	chrN00003:clu_1198_+
ENSFALG00000025394	chrN00320:clu_27289_+
ENSFALG00000025656	chrN00072:clu_17040_-
ENSFALG00000025855	chrN00046:clu_13100_+
ENSFALG00000025877	chrN00012:clu_4973_+
ENSFALG00000026080	chrN00181:clu_23817_+
ENSFALG00000026161	chrN00235:clu_25815_-
ENSFALG00000026353	chrN00063:clu_15731_-
ENSFALG00000026402	chrN00028:clu_8968_-
ENSFALG00000026438	chrN00012:clu_4494_-
ENSFALG00000026841	chrN00010:clu_3989_+
ENSFALG00000027186	chrN00130:clu_21485_+
ENSFALG00000027326	chrN00237:clu_25880_-
ENSFALG00000027502	chrN00108:clu_20212_-
ENSFALG00000027618	chrN00004:clu_1873_-
ENSFALG00000027622	chrN00002:clu_1043_+
ENSFALG00000027684	chrN00019:clu_7222_-
ENSFALG00000027973	chrN00002:clu_661_-
ENSFALG00000028087	chrN00006:clu_2390_-,chrN00006:clu_2391_-
ENSFALG00000028202	chrN00008:clu_3310_-
ENSFALG00000028224	chrN00020:clu_7374_+
ENSFALG00000028278	chrN00006:clu_2727_+
ENSFALG00000028339	chrN00012:clu_5038_+
ENSFALG00000028368	chrN00015:clu_5926_-
ENSFALG00000028762	chrN00042:clu_12456_-
