intron	logef	Ficedula_albicollis	Ficedula_hypoleuca	deltapsi
chrN00001:12468540:12469748:clu_100_+	0.231657529557313	0.995862758490533	0.997392871315197	0.00153011282466453
chrN00001:12468540:12469809:clu_100_+	-0.231657529557313	0.00413724150946716	0.00260712868480266	-0.0015301128246645
chrN00001:12469904:12471544:clu_101_+	1.04050452935809	0.913193625164315	0.980430598561008	0.0672369733966925
chrN00001:12469904:12511500:clu_101_+	-0.520252264717725	0.0721734202675804	0.0162705865450144	-0.055902833722566
chrN00001:12509279:12511500:clu_101_+	-0.520252264640364	0.0146329545681047	0.00329881489397802	-0.0113341396741266
chrN00001:15592652:15593410:clu_122_+	0.00783321524845978	0.31557216036726	0.318965631288843	0.00339347092158332
chrN00001:15593568:15600955:clu_122_+	-0.00783321524845978	0.68442783963274	0.681034368711157	-0.00339347092158337
chrN00001:15797491:15808823:clu_124_+	-0.181734619610393	0.335803841392589	0.312217067643143	-0.0235867737494464
chrN00001:15808848:15812631:clu_124_+	0.457189550219723	0.0249260397756915	0.0439041431406499	0.0189781033649585
chrN00001:15808960:15812631:clu_124_+	0.0477198134358345	0.352909402042334	0.412748024675894	0.0598386226335601
chrN00001:15816458:15818266:clu_124_+	-0.323174744045164	0.286360716789385	0.231130764540313	-0.0552299522490722
chrN00001:15909926:15910812:clu_126_+	-0.00182042090041646	0.664872077897967	0.664060349367627	-0.00081172853033995
chrN00001:15909926:15910815:clu_126_+	0.0018204209004164	0.335127922102034	0.335939650632373	0.000811728530339895
chrN00001:15921358:15921908:clu_127_+	0.774967671627014	0.0133126693988439	0.0437909509282717	0.0304782815294278
chrN00001:15921358:15924026:clu_127_+	-0.450101598385619	0.964603689115543	0.932024489063857	-0.0325792000516868
chrN00001:15922028:15924026:clu_127_+	-0.324866073241395	0.0220836414856128	0.0241845600078718	0.002100918522259
chrN00001:15934479:15935789:clu_128_+	-0.976518419390684	0.982849583697782	0.958739673545503	-0.0241099101522789
chrN00001:15934479:15938063:clu_128_+	1.9528634294994	0.00141932120854582	0.0259124636535929	0.024493142445047
chrN00001:15936593:15938063:clu_128_+	-0.976345010108718	0.0157310950936723	0.0153478628009042	-0.000383232292768161
chrN00001:15974697:15977100:clu_130_+	0.0132885489140698	0.047668295946664	0.0488893984726272	0.00122110252596322
chrN00001:15974713:15977100:clu_130_+	-0.0132885489140698	0.952331704053336	0.951110601527373	-0.0012211025259633
chrN00001:15994661:15996474:clu_131_+	-1.56098027191173	0.994798776441781	0.893944963596612	-0.100853812845169
chrN00001:15996224:15996474:clu_131_+	1.56098027191173	0.00520122355821886	0.106055036403388	0.10085381284517
chrN00001:15993514:15993936:clu_132_+	0.101736840095528	0.0949967020320451	0.113989472785785	0.01899277075374
chrN00001:15993525:15993936:clu_132_+	-0.101736840095528	0.905003297967955	0.886010527214215	-0.01899277075374
chrN00001:16052017:16052137:clu_134_+	0.153218894682016	0.113929643408813	0.148707122870148	0.0347774794613353
chrN00001:16052017:16052164:clu_134_+	-0.153218894682016	0.886070356591187	0.851292877129852	-0.0347774794613352
chrN00001:16259734:16260892:clu_141_+	-0.349762165090438	0.0366548987306633	0.018553137581339	-0.0181017611493243
chrN00001:16259734:16261676:clu_141_+	0.349762165090438	0.963345101269337	0.981446862418661	0.0181017611493243
chrN00001:16493982:16494320:clu_147_+	-0.09366428614067	0.0778146203379548	0.0653908852955641	-0.0124237350423906
chrN00001:16493982:16495057:clu_147_+	0.09366428614067	0.922185379662045	0.934609114704436	0.0124237350423906
chrN00001:16684268:16685912:clu_148_+	-0.0749155397040481	0.659296390842901	0.62488364217308	-0.0344127486698204
chrN00001:16686251:16686874:clu_148_+	0.074915539704048	0.340703609157099	0.37511635782692	0.0344127486698204
chrN00001:18479784:18480329:clu_157_+	0.0772002733399838	0.119668174556256	0.136912308237485	0.0172441336812291
chrN00001:18479847:18480329:clu_157_+	-0.0772002733399838	0.880331825443744	0.863087691762515	-0.0172441336812291
chrN00001:18481864:18486392:clu_158_+	0.242722302350782	0.148612278070867	0.236905878449323	0.0882936003784564
chrN00001:18481864:18486410:clu_158_+	-0.415036604576729	0.760410706247246	0.627925767216818	-0.132484939030428
chrN00001:18481864:18486413:clu_158_+	0.172314302225947	0.0909770156818869	0.135168354333858	0.0441913386519715
chrN00001:18486531:18491167:clu_159_+	0.441071240985083	0.0481315182758158	0.10885021812782	0.0607186998520042
chrN00001:18486531:18491170:clu_159_+	0.0719673341431416	0.00793499658216156	0.0124064261948122	0.00447142961265065
chrN00001:18486531:18493300:clu_159_+	-0.515574964413067	0.84453154292848	0.733752255184818	-0.110779287743662
chrN00001:18491247:18493300:clu_159_+	0.00253638928484209	0.0994019422135428	0.14499110049255	0.0455891582790069
chrN00001:18494015:18496154:clu_160_+	-0.0035646973089022	0.62092834676193	0.619248815099005	-0.00167953166292412
chrN00001:18494015:18496157:clu_160_+	0.0035646973089022	0.379071653238071	0.380751184900995	0.00167953166292401
chrN00001:18502648:18503347:clu_161_+	0.0992326475875139	0.147886955933667	0.133243991570632	-0.0146429643630347
chrN00001:18502691:18503347:clu_161_+	0.231900386930252	0.829749575630523	0.85365358939847	0.0239040137679469
chrN00001:18502691:18503352:clu_161_+	-0.331133034517766	0.0223634684358102	0.0131024190308981	-0.00926104940491216
chrN00001:3076765:3077948:clu_17_+	-0.0884661121010874	0.938157251214281	0.927060635603324	-0.0110966156109563
chrN00001:3076765:3078025:clu_17_+	0.0884661121010873	0.0618427487857196	0.0729393643966758	0.0110966156109562
