cluster	genes
chrN00068:clu_16596_-	NA
chrN00069:clu_16647_+	ENSFALG00000001861
chrN00069:clu_16677_+	ENSFALG00000001906
chrN00070:clu_16815_-	ENSFALG00000005453
chrN00071:clu_16891_+	ENSFALG00000001931
chrN00071:clu_16906_+	ENSFALG00000002020
chrN00072:clu_17002_+	ENSFALG00000002301
chrN00072:clu_17063_-	ENSFALG00000002311
chrN00073:clu_17173_+	ENSFALG00000005838
chrN00075:clu_17500_+	ENSFALG00000002548
chrN00075:clu_17524_+	ENSFALG00000003197
chrN00075:clu_17527_+	ENSFALG00000003234
chrN00078:clu_17827_+	ENSFALG00000006735
chrN00079:clu_17831_-	ENSFALG00000001510
chrN00080:clu_18011_-	ENSFALG00000003218
chrN00080:clu_18044_-	ENSFALG00000003592
chrN00084:clu_18274_+	ENSFALG00000013352
chrN00085:clu_18364_-	ENSFALG00000023214
chrN00087:clu_18564_+	ENSFALG00000023068
chrN00089:clu_18794_-	ENSFALG00000004473
chrN00089:clu_18797_-	ENSFALG00000004498
chrN00089:clu_18810_-	ENSFALG00000004586
chrN00089:clu_18872_-	ENSFALG00000005312
chrN00091:clu_18969_+	ENSFALG00000028841
chrN00093:clu_19165_+	ENSFALG00000004276
chrN00096:clu_19456_-	ENSFALG00000002684
chrN00098:clu_19570_-	ENSFALG00000002394
chrN00099:clu_19648_-	ENSFALG00000005639
chrN00101:clu_19706_+	ENSFALG00000003256
chrN00101:clu_19789_-	ENSFALG00000003553
chrN00104:clu_19980_-	NA
chrN00107:clu_20164_+	ENSFALG00000009078
chrN00109:clu_20277_+	ENSFALG00000001173
chrN00109:clu_20300_-	ENSFALG00000001223
chrN00110:clu_20340_-	NA
chrN00110:clu_20371_+	ENSFALG00000000591
chrN00115:clu_20672_+	ENSFALG00000001677
chrN00118:clu_20933_+	ENSFALG00000014000
chrN00119:clu_20941_-	ENSFALG00000009023
chrN00125:clu_21247_-	ENSFALG00000013574
chrN00128:clu_21374_+	NA
chrN00131:clu_21514_-	ENSFALG00000003400
chrN00131:clu_21534_+	ENSFALG00000003281
chrN00139:clu_21965_+	ENSFALG00000010677
chrN00144:clu_22212_-	NA
chrN00145:clu_22253_-	ENSFALG00000011786
chrN00146:clu_22343_-	ENSFALG00000028965
chrN00150:clu_22445_+	NA
chrN00154:clu_22584_+	ENSFALG00000007350,ENSFALG00000007353
chrN00159:clu_22853_+	ENSFALG00000026311
chrN00159:clu_22876_+	ENSFALG00000006424
chrN00160:clu_22900_+	ENSFALG00000012434
chrN00160:clu_22910_+	ENSFALG00000012498
chrN00165:clu_23196_-	ENSFALG00000012688
chrN00166:clu_23290_+	ENSFALG00000005045
chrN00167:clu_23306_-	ENSFALG00000004376
chrN00169:clu_23461_+	ENSFALG00000007176
chrN00171:clu_23530_-	ENSFALG00000000154
chrN00187:clu_24055_-	ENSFALG00000011989
chrN00189:clu_24150_-	ENSFALG00000009547
chrN00191:clu_24341_+	ENSFALG00000011750
chrN00191:clu_24342_+	ENSFALG00000011750
chrN00197:clu_24595_+	ENSFALG00000000997
chrN00198:clu_24641_-	ENSFALG00000002894
chrN00198:clu_24645_-	ENSFALG00000002900
chrN00199:clu_24664_-	NA
chrN00206:clu_24863_+	ENSFALG00000028954
chrN00210:clu_24980_-	ENSFALG00000000757
chrN00210:clu_25001_+	ENSFALG00000023807
chrN00210:clu_25031_+	ENSFALG00000000804
chrN00218:clu_25256_+	ENSFALG00000000255
chrN00218:clu_25279_-	ENSFALG00000000124
chrN00227:clu_25476_+	ENSFALG00000024923
chrN00229:clu_25571_-	ENSFALG00000001059
chrN00232:clu_25718_-	ENSFALG00000003726
chrN00232:clu_25751_+	ENSFALG00000023686
chrN00233:clu_25799_-	NA
chrN00249:clu_26153_+	ENSFALG00000009619
chrN00255:clu_26327_-	ENSFALG00000008000
chrN00255:clu_26338_+	ENSFALG00000008015
chrN00258:clu_26360_+	ENSFALG00000000833
chrN00263:clu_26456_+	NA
chrN00271:clu_26614_+	ENSFALG00000002126
chrN00280:clu_26712_+	NA
chrN00283:clu_26755_+	ENSFALG00000001123
chrN00285:clu_26784_+	ENSFALG00000000950
chrN00291:clu_26875_+	NA
chrN00338:clu_27454_-	ENSFALG00000027742
chrN00338:clu_27458_+	ENSFALG00000001638
chrN00340:clu_27482_+	ENSFALG00000012320
chrN00346:clu_27520_+	ENSFALG00000027970
chrN00351:clu_27607_-	NA
chrN00381:clu_27774_+	NA
chrN00385:clu_27791_+	ENSFALG00000010708
chrN00389:clu_27815_-	NA
chrN00449:clu_27985_+	NA
chrN00574:clu_28181_+	NA
chrN00721:clu_28272_-	NA
chrN00750:clu_28305_-	ENSFALG00000002080
chrN02995:clu_28492_-	NA
chrN06340:clu_28499_-	NA
