gene	exons
ENSFALG00000010099	E049
ENSFALG00000010105	E011
ENSFALG00000010106	E018
ENSFALG00000010145	E007
ENSFALG00000010299	E001,E008
ENSFALG00000010356	E001,E078
ENSFALG00000010382	E005
ENSFALG00000010395	E007
ENSFALG00000010413	E003
ENSFALG00000010416	E010
ENSFALG00000010637	E036
ENSFALG00000010707	E006
ENSFALG00000010721	E001,E005
ENSFALG00000010750	E001,E006
ENSFALG00000010914	E012
ENSFALG00000010940	E002,E003
ENSFALG00000011059	E002
ENSFALG00000011155	E018
ENSFALG00000011214	E012
ENSFALG00000011218	E004
ENSFALG00000011383	E001
ENSFALG00000011390	E001,E005
ENSFALG00000011431	E009
ENSFALG00000011450	E004
ENSFALG00000011452	E002
ENSFALG00000011490	E001,E002
ENSFALG00000011633	E005
ENSFALG00000011701	E008
ENSFALG00000011764	E014
ENSFALG00000011805	E007,E008
ENSFALG00000011844	E012
ENSFALG00000011889	E001
ENSFALG00000011913	E029
ENSFALG00000011919	E002
ENSFALG00000011957	E005
ENSFALG00000011958	E008
ENSFALG00000011968	E007
ENSFALG00000011990	E004
ENSFALG00000012056	E023
ENSFALG00000012079	E001
ENSFALG00000012148	E001
ENSFALG00000012221	E003
ENSFALG00000012296	E010
ENSFALG00000012320	E008
ENSFALG00000012429	E006
ENSFALG00000012455	E001
ENSFALG00000012470	E004
ENSFALG00000012495	E006
ENSFALG00000012528	E001
ENSFALG00000012532	E007
ENSFALG00000012544	E013
ENSFALG00000012688	E004
ENSFALG00000012697	E004
ENSFALG00000012704	E039
ENSFALG00000012725	E001,E008
ENSFALG00000012736	E009
ENSFALG00000012745	E003
ENSFALG00000012768	E008,E017
ENSFALG00000012884	E007
ENSFALG00000012924	E061
ENSFALG00000012989	E012,E018
ENSFALG00000013022	E006
ENSFALG00000013114	E015
ENSFALG00000013219	E018,E019
ENSFALG00000013234	E014
ENSFALG00000013267	E020
ENSFALG00000013283	E006,E024
ENSFALG00000013350	E015
ENSFALG00000013451	E008
ENSFALG00000013464	E002,E007
ENSFALG00000013560	E004
ENSFALG00000013598	E004
ENSFALG00000013600	E001,E002
ENSFALG00000013616	E011
ENSFALG00000013663	E002
ENSFALG00000013793	E008
ENSFALG00000013804	E001,E003
ENSFALG00000013914	E001,E002
ENSFALG00000013936	E001
ENSFALG00000013950	E015
ENSFALG00000014063	E021,E022
ENSFALG00000014075	E001
ENSFALG00000014272	E001,E002
ENSFALG00000016456	E001
ENSFALG00000022906	E001,E006
ENSFALG00000022951	E001,E004
ENSFALG00000022973	E005
ENSFALG00000022990	E001,E002
ENSFALG00000023398	E007
ENSFALG00000023567	E008
ENSFALG00000023731	E001,E002
ENSFALG00000023788	E001,E004
ENSFALG00000023938	E001,E002
ENSFALG00000023985	E002,E003
ENSFALG00000024235	E004
ENSFALG00000024379	E001,E003
ENSFALG00000024387	E004,E005
ENSFALG00000024441	E004,E006
ENSFALG00000024468	E005
ENSFALG00000024486	E003
ENSFALG00000024585	E007
ENSFALG00000024742	E006
ENSFALG00000024917	E001,E005
ENSFALG00000025013	E002
ENSFALG00000025099	E001
ENSFALG00000025105	E001
ENSFALG00000025116	E003
ENSFALG00000025343	E003
ENSFALG00000025362	E001
ENSFALG00000025457	E003
ENSFALG00000025611	E005
ENSFALG00000025708	E002
ENSFALG00000025755	E001
ENSFALG00000025818	E013
ENSFALG00000025869	E002
ENSFALG00000025990	E003
ENSFALG00000026098	E001
ENSFALG00000026105	E001,E005,E008
ENSFALG00000026178	E004,E009
ENSFALG00000026573	E002
ENSFALG00000026808	E005
ENSFALG00000026966	E013
ENSFALG00000026978	E002,E007
ENSFALG00000027021	E007
ENSFALG00000027093	E001
ENSFALG00000027289	E003,E014
ENSFALG00000027373	E001
ENSFALG00000027394	E003
ENSFALG00000027447	E001
ENSFALG00000027450	E004
ENSFALG00000027640	E001,E006
ENSFALG00000027641	E003
ENSFALG00000027650	E006
ENSFALG00000027709	E001
ENSFALG00000027843	E006
ENSFALG00000027969	E008
ENSFALG00000028061	E035
ENSFALG00000028083	E002
ENSFALG00000028104	E002,E003
ENSFALG00000028383	E001
ENSFALG00000028422	E001,E002
ENSFALG00000028609	E001,E002
ENSFALG00000028652	E008
ENSFALG00000028784	E001
ENSFALG00000028901	E001,E005
ENSFALG00000028909	E005
ENSFALG00000028940	E004,E006
ENSFALG00000028965	E005
ENSFALG00000029083	E002
