genes	clusters
ENSFALG00000000074	chrN00061:clu_15513_+
ENSFALG00000000121	chrN00142:clu_22089_+
ENSFALG00000000150	chrN00142:clu_22094_+
ENSFALG00000000189	chrN00142:clu_22106_+
ENSFALG00000000274	chrN00147:clu_22355_+,chrN00147:clu_22356_+
ENSFALG00000000479	chrN00181:clu_23830_+
ENSFALG00000000677	chrN00210:clu_25003_+
ENSFALG00000000804	chrN00210:clu_25031_+
ENSFALG00000000820	chrN00065:clu_16054_+
ENSFALG00000000833	chrN00258:clu_26360_+
ENSFALG00000000840	chrN00040:clu_12100_+
ENSFALG00000000948	chrN00026:clu_8725_+
ENSFALG00000001045	chrN00197:clu_24624_-
ENSFALG00000001080	chrN00308:clu_27114_-
ENSFALG00000001103	chrN00217:clu_25229_-
ENSFALG00000001135	chrN00040:clu_12274_-
ENSFALG00000001209	chrN00094:clu_19310_+
ENSFALG00000001223	chrN00109:clu_20300_-
ENSFALG00000001280	chrN00065:clu_16091_+
ENSFALG00000001291	chrN00183:clu_23869_-,chrN00183:clu_23871_-
ENSFALG00000001388	chrN00039:clu_11810_+
ENSFALG00000001396	chrN00039:clu_11810_+
ENSFALG00000001525	chrN00083:clu_18172_+
ENSFALG00000001673	chrN00022:clu_7769_-
ENSFALG00000002020	chrN00071:clu_16903_+
ENSFALG00000002079	chrN00200:clu_24709_+
ENSFALG00000002103	chrN00071:clu_16935_+
ENSFALG00000002126	chrN00271:clu_26614_+
ENSFALG00000002169	chrN00039:clu_11980_+
ENSFALG00000002172	chrN00071:clu_16955_+
ENSFALG00000002222	chrN00039:clu_12008_+
ENSFALG00000002234	chrN00044:clu_12789_+
ENSFALG00000002254	chrN00216:clu_25217_-
ENSFALG00000002256	chrN00216:clu_25218_-
ENSFALG00000002265	chrN00072:clu_16969_+
ENSFALG00000002270	chrN00044:clu_12805_+
ENSFALG00000002315	chrN00044:clu_12737_-
ENSFALG00000002330	chrN00227:clu_25469_+
ENSFALG00000002351	chrN00046:clu_13045_+
ENSFALG00000002387	chrN00098:clu_19559_+
ENSFALG00000002454	chrN00014:clu_5665_-
ENSFALG00000002494	chrN00287:clu_26812_+
ENSFALG00000002538	chrN00035:clu_10642_+
ENSFALG00000002580	chrN00046:clu_13096_+,chrN00046:clu_13097_+
ENSFALG00000002599	chrN00075:clu_17410_-
ENSFALG00000002611	chrN00013:clu_5290_+
ENSFALG00000002612	chrN00156:clu_22673_-
ENSFALG00000002620	chrN00046:clu_12977_-
ENSFALG00000002684	chrN00096:clu_19456_-
ENSFALG00000002696	chrN00013:clu_5483_-
ENSFALG00000002703	chrN00046:clu_13113_+
ENSFALG00000002852	chrN00157:clu_22762_+
ENSFALG00000002854	chrN00157:clu_22762_+
ENSFALG00000002857	chrN00014:clu_5734_-
ENSFALG00000002861	chrN00053:clu_14373_-
ENSFALG00000002903	chrN00013:clu_5518_-
ENSFALG00000002910	chrN00019:clu_6945_+
ENSFALG00000002940	chrN00035:clu_10701_+
ENSFALG00000002975	chrN00035:clu_10706_+
ENSFALG00000002989	chrN00225:clu_25408_+
ENSFALG00000003008	chrN00124:clu_21172_+,chrN00124:clu_21175_+
ENSFALG00000003035	chrN00345:clu_27503_+,chrN00345:clu_27506_+
ENSFALG00000003047	chrN00080:clu_17955_+
ENSFALG00000003072	chrN00075:clu_17427_-
ENSFALG00000003087	chrN00019:clu_7126_-
ENSFALG00000003107	chrN00080:clu_17961_+
ENSFALG00000003199	chrN00102:clu_19850_+,chrN00102:clu_19855_+
ENSFALG00000003218	chrN00080:clu_18012_-
ENSFALG00000003256	chrN00101:clu_19706_+
ENSFALG00000003314	chrN00053:clu_14418_-
ENSFALG00000003317	chrN00005:clu_2123_+
ENSFALG00000003362	chrN00131:clu_21541_+,chrN00131:clu_21544_+
ENSFALG00000003482	chrN00028:clu_8919_-
ENSFALG00000003520	chrN00019:clu_6987_+
ENSFALG00000003554	chrN00005:clu_1967_-
