intron	logef	Ficedula_hypoleuca	F1_hybrid	deltapsi
chrN00001:2839115:2839352:clu_10_+	0.767108205980982	0.00691025114080675	0.0402701954488875	0.0333599443080807
chrN00001:2839115:2840947:clu_10_+	-1.04884848523169	0.986179490371143	0.93494465253562	-0.0512348378355226
chrN00001:2839510:2840947:clu_10_+	0.28174027925071	0.00691025848805052	0.0247851520154925	0.017874893527442
chrN00001:12468540:12469748:clu_100_+	-0.614733263350947	0.99829531655466	0.994194939019752	-0.00410037753490744
chrN00001:12468540:12469809:clu_100_+	0.614733263350947	0.00170468344534007	0.00580506098024758	0.00410037753490751
chrN00001:12950400:12950933:clu_104_+	-0.455124473935977	0.989955258467617	0.975406245886851	-0.0145490125807664
chrN00001:12950400:12950936:clu_104_+	0.455124473935977	0.0100447415323827	0.0245937541131489	0.0145490125807662
chrN00001:12951174:12952599:clu_105_+	-0.621230247480853	0.990018668455778	0.966253411581509	-0.0237652568742689
chrN00001:12951174:12952696:clu_105_+	0.621230247480853	0.00998133154422241	0.0337465884184913	0.0237652568742689
chrN00001:2844792:2845842:clu_11_+	-0.0144239230686008	0.0160964093326135	0.0156458576636914	-0.000450551668922057
chrN00001:2844792:2914978:clu_11_+	0.0144239230686008	0.983903590667386	0.984354142336309	0.000450551668922161
chrN00001:14420514:14424099:clu_112_+	-0.183348509300302	0.428360285369139	0.341809393472843	-0.0865508918962962
chrN00001:14420514:14424102:clu_112_+	0.183348509300302	0.571639714630861	0.658190606527157	0.0865508918962962
chrN00001:14428211:14428683:clu_113_+	-0.165988728860055	0.0158852267029477	0.0114490837109426	-0.00443614299200503
chrN00001:14428211:14428692:clu_113_+	0.165988728860055	0.984114773297052	0.988550916289057	0.00443614299200501
chrN00001:2942814:2949480:clu_12_+	0.478160990305954	0.980322620266278	0.992345168359742	0.012022548093464
chrN00001:2942814:2949484:clu_12_+	-0.478160990305954	0.0196773797337225	0.00765483164025829	-0.0120225480934642
chrN00001:15394444:15478601:clu_120_+	-0.24608135441856	0.201222191843102	0.173551913357776	-0.0276702784853264
chrN00001:15394444:15526015:clu_120_+	-0.142309914852981	0.705958012268486	0.675460202520585	-0.0304978097479003
chrN00001:15478642:15526015:clu_120_+	0.388391269271541	0.0928197958884126	0.150987884121639	0.0581680882332266
chrN00001:15584447:15592543:clu_121_+	-0.0553232825945057	0.125556785859741	0.113903345917018	-0.0116534399427231
chrN00001:15584453:15592543:clu_121_+	0.0553232825945057	0.874443214140259	0.886096654082982	0.0116534399427231
chrN00001:15592652:15593410:clu_122_+	-0.170166609878628	0.348254601711322	0.344621854287793	-0.00363274742352904
chrN00001:15592652:15600955:clu_122_+	0.339252747653406	0.0148311799144191	0.0244264115675347	0.00959523165311561
chrN00001:15593568:15600955:clu_122_+	-0.169086137774777	0.636914218374259	0.630951734144672	-0.00596248422958656
chrN00001:15797491:15808823:clu_124_+	-0.241503046028392	0.359288564169722	0.343349988541619	-0.0159385756281036
chrN00001:15808848:15812631:clu_124_+	0.727419538171392	0.0289341839274326	0.072862255763294	0.0439280718358614
chrN00001:15808960:15812631:clu_124_+	-0.242958248118243	0.329907165243315	0.314813541403901	-0.0150936238394134
chrN00001:15816458:15818266:clu_124_+	-0.242958244024757	0.28187008665953	0.268974214291186	-0.0128958723683444
chrN00001:15909926:15910812:clu_126_+	-0.0646892497137369	0.724585225514104	0.698031738894319	-0.0265534866197842
chrN00001:15909926:15910815:clu_126_+	0.0646892497137369	0.275414774485896	0.30196826110568	0.0265534866197841
chrN00001:15921358:15921908:clu_127_+	-0.241472193001582	0.0182082060450856	0.0124286851612196	-0.00577952088386593
chrN00001:15921358:15924026:clu_127_+	0.147707702283261	0.954792292477865	0.96180186096443	0.00700956848656586
chrN00001:15922028:15924026:clu_127_+	0.0937644907183208	0.0269995014770499	0.0257694538743499	-0.00123004760270002
chrN00001:15934479:15935789:clu_128_+	-0.0274786335538238	0.977972477965283	0.977159337052149	-0.000813140913133448
chrN00001:15934479:15938063:clu_128_+	0.0314269752583339	0.00834615031992538	0.00884519346478631	0.000499043144860935
chrN00001:15936593:15938063:clu_128_+	-0.0039483417045101	0.0136813717147921	0.0139954694830646	0.00031409776827249
chrN00001:15964359:15974443:clu_129_+	0.414509120562326	0.955080506111023	0.979884459974457	0.0248039538634336
chrN00001:15964359:15974553:clu_129_+	-0.414509120562326	0.0449194938889766	0.020115540025543	-0.0248039538634336
chrN00001:2941656:2942656:clu_13_+	-0.412231371371419	0.99696778004111	0.993111302356482	-0.00385647768462816
chrN00001:2942560:2942656:clu_13_+	0.412231371371419	0.00303221995888954	0.00688869764351764	0.0038564776846281
chrN00001:15974697:15977100:clu_130_+	-0.292313023715191	0.0201748286632058	0.0113450429621572	-0.00882978570104857
chrN00001:15974713:15977100:clu_130_+	0.292313023715191	0.979825171336794	0.988654957037843	0.00882978570104864
chrN00001:15994661:15996474:clu_131_+	-0.0844721864468911	0.990471649079571	0.98873766652518	-0.00173398255439061
chrN00001:15996224:15996474:clu_131_+	0.084472186446891	0.00952835092042912	0.0112623334748198	0.00173398255439064
chrN00001:15993514:15993936:clu_132_+	0.0688763220184143	0.0585974168243968	0.0666747382655124	0.00807732144111562
chrN00001:15993525:15993936:clu_132_+	-0.0688763220184143	0.941402583175603	0.933325261734488	-0.0080773214411155
chrN00001:15994017:15994249:clu_133_+	0.912679582582041	0.980033168725124	0.996727336669863	0.0166941679447392
chrN00001:15994017:15994268:clu_133_+	-0.912679582582041	0.0199668312748759	0.00327266333013656	-0.0166941679447393
chrN00001:16052017:16052137:clu_134_+	0.581922404650989	0.0482625242517879	0.139699379462837	0.0914368552110495
