cluster	genes
chrN00039:clu_11662_-	ENSFALG00000028829
chrN00039:clu_11810_+	ENSFALG00000001388,ENSFALG00000001396
chrN00039:clu_11980_+	ENSFALG00000002169
chrN00039:clu_12008_+	ENSFALG00000002222
chrN00040:clu_12100_+	ENSFALG00000000840
chrN00040:clu_12274_-	ENSFALG00000001135
chrN00042:clu_12414_+	ENSFALG00000024418
chrN00042:clu_12419_-	ENSFALG00000003759
chrN00042:clu_12454_-	ENSFALG00000004005
chrN00043:clu_12626_+	ENSFALG00000007689
chrN00044:clu_12737_-	ENSFALG00000002315
chrN00044:clu_12789_+	ENSFALG00000002234
chrN00044:clu_12805_+	ENSFALG00000002270
chrN00045:clu_12820_-	NA
chrN00045:clu_12824_-	ENSFALG00000008404
chrN00045:clu_12898_+	ENSFALG00000028818
chrN00046:clu_12977_-	ENSFALG00000002620
chrN00046:clu_13045_+	ENSFALG00000002351
chrN00046:clu_13096_+	ENSFALG00000002580
chrN00046:clu_13097_+	ENSFALG00000002580
chrN00046:clu_13113_+	ENSFALG00000002703
chrN00047:clu_13342_+	ENSFALG00000012126
chrN00049:clu_13482_+	ENSFALG00000025342
chrN00049:clu_13504_+	ENSFALG00000005734
chrN00049:clu_13567_-	ENSFALG00000026244
chrN00049:clu_13646_-	ENSFALG00000024732
chrN00051:clu_13944_+	ENSFALG00000006217
chrN00052:clu_14014_+	ENSFALG00000005422
chrN00052:clu_14080_+	ENSFALG00000006283
chrN00052:clu_14125_+	ENSFALG00000006671
chrN00052:clu_14198_-	ENSFALG00000005040
chrN00052:clu_14222_-	ENSFALG00000005326
chrN00052:clu_14301_-	ENSFALG00000006112
chrN00052:clu_14328_-	ENSFALG00000025487
chrN00053:clu_14373_-	ENSFALG00000002861
chrN00053:clu_14411_-	ENSFALG00000027775
chrN00053:clu_14418_-	ENSFALG00000003314
chrN00056:clu_14797_-	ENSFALG00000009567
chrN00056:clu_14943_+	ENSFALG00000009834
chrN00057:clu_15168_+	ENSFALG00000008585
chrN00058:clu_15231_+	ENSFALG00000008884
chrN00058:clu_15232_+	ENSFALG00000008884
chrN00058:clu_15278_-	ENSFALG00000008979
chrN00059:clu_15308_+	ENSFALG00000005157
chrN00059:clu_15309_+	ENSFALG00000027445
chrN00061:clu_15483_-	ENSFALG00000028158
chrN00061:clu_15513_+	ENSFALG00000000074
chrN00063:clu_15777_-	ENSFALG00000010784
chrN00063:clu_15779_-	ENSFALG00000010814
chrN00064:clu_15902_+	ENSFALG00000006406
chrN00064:clu_15916_-	ENSFALG00000005491
chrN00064:clu_15949_-	ENSFALG00000006053
chrN00064:clu_15965_-	ENSFALG00000023422
chrN00065:clu_16054_+	ENSFALG00000000820
chrN00065:clu_16091_+	ENSFALG00000001280
chrN00066:clu_16237_-	ENSFALG00000005246
chrN00067:clu_16320_-	ENSFALG00000012853
chrN00067:clu_16354_+	ENSFALG00000012292
chrN00068:clu_16447_+	NA
chrN00068:clu_16575_-	NA
chrN00070:clu_16809_-	ENSFALG00000005439
chrN00071:clu_16903_+	ENSFALG00000002020
chrN00071:clu_16935_+	ENSFALG00000002103
chrN00071:clu_16955_+	ENSFALG00000002172
chrN00072:clu_16969_+	ENSFALG00000002265
chrN00072:clu_17031_+	NA
chrN00073:clu_17165_-	ENSFALG00000006077
chrN00073:clu_17167_-	ENSFALG00000006077
chrN00073:clu_17171_+	ENSFALG00000005752
chrN00073:clu_17192_+	ENSFALG00000006002
chrN00074:clu_17329_-	ENSFALG00000023619
chrN00075:clu_17410_-	ENSFALG00000002599
chrN00075:clu_17427_-	ENSFALG00000003072
chrN00075:clu_17578_+	ENSFALG00000023018
chrN00076:clu_17604_-	ENSFALG00000024481
chrN00077:clu_17684_+	NA
chrN00077:clu_17738_-	ENSFALG00000027477
chrN00079:clu_17905_+	NA
chrN00080:clu_17955_+	ENSFALG00000003047
chrN00080:clu_17961_+	ENSFALG00000003107
chrN00080:clu_18012_-	ENSFALG00000003218
chrN00083:clu_18172_+	ENSFALG00000001525
chrN00085:clu_18338_+	ENSFALG00000006976
chrN00086:clu_18438_-	ENSFALG00000013112
chrN00086:clu_18451_-	ENSFALG00000024297
chrN00087:clu_18538_+	NA
chrN00089:clu_18764_+	ENSFALG00000005150
chrN00089:clu_18810_-	ENSFALG00000004586
chrN00089:clu_18845_-	ENSFALG00000004944
chrN00089:clu_18872_-	ENSFALG00000005312
chrN00091:clu_18987_-	NA
chrN00091:clu_19006_-	ENSFALG00000006783
chrN00092:clu_19015_-	ENSFALG00000013563
chrN00092:clu_19078_+	ENSFALG00000013597
chrN00092:clu_19084_+	ENSFALG00000013616
chrN00093:clu_19165_+	ENSFALG00000004276
chrN00094:clu_19310_+	ENSFALG00000001209
chrN00095:clu_19378_+	ENSFALG00000025511
chrN00096:clu_19456_-	ENSFALG00000002684
chrN00097:clu_19500_+	NA
chrN00098:clu_19559_+	ENSFALG00000002387
chrN00099:clu_19648_-	ENSFALG00000005639
chrN00100:clu_19665_+	ENSFALG00000013546
chrN00101:clu_19706_+	ENSFALG00000003256
chrN00102:clu_19809_-	NA
chrN00102:clu_19850_+	ENSFALG00000003199
chrN00102:clu_19855_+	ENSFALG00000003199
chrN00103:clu_19927_-	ENSFALG00000008242
chrN00104:clu_19977_-	ENSFALG00000006356
chrN00104:clu_20042_+	ENSFALG00000006475
chrN00105:clu_20061_+	ENSFALG00000011040
chrN00105:clu_20068_-	ENSFALG00000025250
chrN00105:clu_20083_-	ENSFALG00000011038
chrN00106:clu_20119_-	ENSFALG00000011337
chrN00107:clu_20164_+	ENSFALG00000009078
chrN00108:clu_20224_-	ENSFALG00000011813
chrN00109:clu_20300_-	ENSFALG00000001223
chrN00113:clu_20587_-	NA
chrN00113:clu_20593_-	ENSFALG00000012442
chrN00114:clu_20625_-	ENSFALG00000013749
chrN00116:clu_20752_-	ENSFALG00000007530
chrN00118:clu_20927_+	ENSFALG00000013928
chrN00119:clu_20964_-	ENSFALG00000009076
chrN00123:clu_21157_+	ENSFALG00000011884
chrN00124:clu_21172_+	ENSFALG00000003008
chrN00124:clu_21175_+	ENSFALG00000003008
chrN00125:clu_21257_+	NA
chrN00127:clu_21349_+	ENSFALG00000026513
chrN00131:clu_21541_+	ENSFALG00000003362
chrN00131:clu_21544_+	ENSFALG00000003362
chrN00132:clu_21608_-	ENSFALG00000009702
chrN00133:clu_21649_+	ENSFALG00000029013
chrN00133:clu_21690_-	ENSFALG00000003767
chrN00135:clu_21746_+	ENSFALG00000012964
chrN00139:clu_21917_-	ENSFALG00000010603
chrN00139:clu_21952_+	ENSFALG00000010609
chrN00140:clu_22013_+	ENSFALG00000007942
chrN00142:clu_22089_+	ENSFALG00000000121
chrN00142:clu_22094_+	ENSFALG00000000150
chrN00142:clu_22106_+	ENSFALG00000000189
chrN00145:clu_22243_-	ENSFALG00000011510
chrN00145:clu_22268_-	NA
chrN00146:clu_22329_-	ENSFALG00000027583
chrN00147:clu_22355_+	ENSFALG00000000274
chrN00147:clu_22356_+	ENSFALG00000000274
chrN00148:clu_22399_-	NA
chrN00150:clu_22436_+	NA
chrN00152:clu_22536_-	ENSFALG00000023837
chrN00154:clu_22620_-	ENSFALG00000025489
chrN00156:clu_22673_-	ENSFALG00000002612
chrN00157:clu_22752_+	ENSFALG00000025745
chrN00157:clu_22762_+	ENSFALG00000002852,ENSFALG00000002854
chrN00158:clu_22805_-	ENSFALG00000025214
chrN00159:clu_22840_-	ENSFALG00000006741
chrN00160:clu_22911_+	ENSFALG00000012498
chrN00162:clu_23063_+	ENSFALG00000011969
chrN00166:clu_23224_-	NA
chrN00166:clu_23271_+	ENSFALG00000004742
chrN00169:clu_23435_-	ENSFALG00000024548
chrN00171:clu_23554_+	ENSFALG00000024288
chrN00171:clu_23575_+	ENSFALG00000023038
chrN00181:clu_23830_+	ENSFALG00000000479
chrN00183:clu_23869_-	ENSFALG00000001291
chrN00183:clu_23871_-	ENSFALG00000001291
chrN00187:clu_23983_+	ENSFALG00000024069
chrN00189:clu_24098_+	ENSFALG00000009363
chrN00189:clu_24115_+	ENSFALG00000009429
chrN00189:clu_24151_-	ENSFALG00000009547
chrN00190:clu_24204_+	ENSFALG00000008198
chrN00190:clu_24212_+	ENSFALG00000027235
chrN00190:clu_24229_+	ENSFALG00000008500
chrN00191:clu_24328_+	ENSFALG00000026568
chrN00192:clu_24368_-	ENSFALG00000009688
chrN00195:clu_24449_-	ENSFALG00000008967
chrN00197:clu_24624_-	ENSFALG00000001045
chrN00200:clu_24709_+	ENSFALG00000002079
chrN00205:clu_24855_-	ENSFALG00000025596
chrN00210:clu_25003_+	ENSFALG00000000677
chrN00210:clu_25031_+	ENSFALG00000000804
chrN00213:clu_25095_+	ENSFALG00000003831
chrN00213:clu_25103_+	ENSFALG00000003949
chrN00213:clu_25112_+	ENSFALG00000027325
chrN00216:clu_25217_-	ENSFALG00000002254
chrN00216:clu_25218_-	ENSFALG00000002256
chrN00217:clu_25229_-	ENSFALG00000001103
chrN00217:clu_25239_-	NA
chrN00218:clu_25261_+	ENSFALG00000025454
chrN00225:clu_25408_+	ENSFALG00000002989
chrN00227:clu_25469_+	ENSFALG00000002330
chrN00227:clu_25471_+	NA
chrN00227:clu_25476_+	ENSFALG00000024923
chrN00231:clu_25661_-	ENSFALG00000026515
chrN00232:clu_25723_-	ENSFALG00000003726
chrN00232:clu_25737_+	ENSFALG00000003710
chrN00234:clu_25814_-	ENSFALG00000024033
chrN00235:clu_25829_+	ENSFALG00000025145
chrN00237:clu_25874_-	ENSFALG00000009837
chrN00240:clu_25973_-	NA
chrN00246:clu_26079_+	NA
chrN00249:clu_26153_+	ENSFALG00000009619
chrN00250:clu_26166_-	NA
chrN00251:clu_26231_-	NA
chrN00258:clu_26360_+	ENSFALG00000000833
chrN00263:clu_26444_+	NA
chrN00271:clu_26614_+	ENSFALG00000002126
chrN00273:clu_26627_-	NA
chrN00283:clu_26763_-	ENSFALG00000024574
chrN00287:clu_26812_+	ENSFALG00000002494
chrN00291:clu_26875_+	NA
chrN00298:clu_26968_-	NA
chrN00302:clu_27048_+	ENSFALG00000023600
chrN00303:clu_28542_-	NA
chrN00308:clu_27114_-	ENSFALG00000001080
chrN00310:clu_27125_-	NA
chrN00319:clu_27266_+	NA
chrN00319:clu_27267_+	NA
chrN00345:clu_27503_+	ENSFALG00000003035
chrN00345:clu_27506_+	ENSFALG00000003035
chrN00378:clu_27749_-	NA
chrN00399:clu_27829_-	NA
chrN00399:clu_27833_-	NA
chrN00411:clu_27873_-	ENSFALG00000011055
chrN00464:clu_28010_-	NA
chrN00523:clu_28110_+	NA
chrN00582:clu_28187_-	NA
chrN00702:clu_28263_-	NA
chrN00705:clu_28265_-	NA
chrN00721:clu_28272_-	NA
chrN00839:clu_28341_-	NA
