intron	logef	Ficedula_albicollis	F1_hybrid	deltapsi
chrN00001:2839115:2839352:clu_10_+	0.250956113965294	0.0259157099462976	0.0374168895408393	0.0115011795945416
chrN00001:2839115:2840947:clu_10_+	-0.128331099367853	0.950772967941408	0.939418379850047	-0.0113545880913601
chrN00001:2839510:2840947:clu_10_+	-0.122625014597442	0.0233113221122949	0.0231647306091133	-0.000146591503181547
chrN00001:12468540:12469748:clu_100_+	-0.526165302032305	0.997933214931283	0.994102791195842	-0.0038304237354414
chrN00001:12468540:12469809:clu_100_+	0.526165302032305	0.00206678506871698	0.00589720880415835	0.00383042373544138
chrN00001:12469904:12471544:clu_101_+	0.397004966023302	0.973865819371138	0.986128699520908	0.01226288014977
chrN00001:12469904:12511500:clu_101_+	-0.299840859622843	0.0200589917984182	0.0101182936461869	-0.0099406981522313
chrN00001:12509279:12511500:clu_101_+	-0.0971641064004591	0.00607518883044411	0.00375300683290567	-0.00232218199753845
chrN00001:12873940:12885997:clu_103_+	-0.30176516293687	0.859349223520084	0.769655146626343	-0.0896940768937402
chrN00001:12877471:12885997:clu_103_+	0.30176516293687	0.140650776479916	0.230344853373657	0.0896940768937403
chrN00001:12950400:12950933:clu_104_+	-0.212313067208784	0.979955874123187	0.969673728595125	-0.0102821455280625
chrN00001:12950400:12950936:clu_104_+	0.212313067208784	0.0200441258768127	0.0303262714048753	0.0102821455280626
chrN00001:12951174:12952599:clu_105_+	0.0301643919703262	0.96724765553054	0.969105904209853	0.00185824867931372
chrN00001:12951174:12952696:clu_105_+	-0.0301643919703262	0.0327523444694605	0.0308940957901467	-0.00185824867931376
chrN00001:2844792:2845842:clu_11_+	0.337777399496325	0.00799370202463968	0.0155883444811076	0.00759464245646791
chrN00001:2844792:2914978:clu_11_+	-0.337777399496325	0.99200629797536	0.984411655518892	-0.00759464245646801
chrN00001:14417422:14418818:clu_111_+	-8.39587878452551	0.0218466886382309	1.2765475605393e-07	-0.0218465609834748
chrN00001:14417422:14420001:clu_111_+	4.73796549035658	0.00940509129198215	0.0277952440187302	0.018390152726748
chrN00001:14417422:14420338:clu_111_+	3.65791329416894	0.968748220069787	0.972204628326514	0.00345640825672688
chrN00001:14420514:14424099:clu_112_+	-0.202879330551548	0.445535273163228	0.348761998338653	-0.0967732748245744
chrN00001:14420514:14424102:clu_112_+	0.202879330551548	0.554464726836772	0.651238001661347	0.0967732748245745
chrN00001:14428211:14428683:clu_113_+	-0.559219754580726	0.0334167848853531	0.0111715710133134	-0.0222452138720397
chrN00001:14428211:14428692:clu_113_+	0.559219754580726	0.966583215114647	0.988828428986687	0.0222452138720397
chrN00001:2942814:2949480:clu_12_+	0.210658621027883	0.986893986247481	0.991361143576703	0.0044671573292222
chrN00001:2942814:2949484:clu_12_+	-0.210658621027883	0.0131060137525187	0.0086388564232966	-0.00446715732922214
chrN00001:15394444:15478601:clu_120_+	-0.180532030999315	0.218660436059741	0.171699661428397	-0.0469607746313447
chrN00001:15394444:15526015:clu_120_+	0.136954285476007	0.630614029452115	0.680213759449752	0.0495997299976368
chrN00001:15478642:15526015:clu_120_+	0.0435777455233077	0.150725534488144	0.148086579121851	-0.0026389553662923
chrN00001:15584447:15592543:clu_121_+	0.0301860879356985	0.127124837705324	0.133976133298156	0.00685129559283149
chrN00001:15584453:15592543:clu_121_+	-0.0301860879356985	0.872875162294676	0.866023866701844	-0.00685129559283149
chrN00001:15592652:15593410:clu_122_+	-0.0736034233106631	0.341413408090089	0.342441712620728	0.00102830453063835
chrN00001:15592652:15600955:clu_122_+	0.160986963951598	0.0216138355464958	0.0274106441097023	0.00579680856320653
chrN00001:15593568:15600955:clu_122_+	-0.0873835406409344	0.636972756363415	0.63014764326957	-0.00682511309384481
chrN00001:15797491:15808823:clu_124_+	0.0632981921373913	0.307992338161204	0.347125239515988	0.0391329013547841
chrN00001:15808848:15812631:clu_124_+	0.240257436510789	0.0541471990253945	0.0728407986562839	0.0186935996308894
chrN00001:15808960:15812631:clu_124_+	-0.0459886267995951	0.303377656769139	0.306525923681198	0.00314826691205905
chrN00001:15816458:15818266:clu_124_+	-0.257567001848585	0.334482806044262	0.27350803814653	-0.0609747678977324
chrN00001:15909926:15910812:clu_126_+	0.0142219208157354	0.692078617067408	0.698106823581879	0.00602820651447011
chrN00001:15909926:15910815:clu_126_+	-0.0142219208157354	0.307921382932592	0.301893176418121	-0.00602820651447017
chrN00001:15921358:15921908:clu_127_+	-0.180462983669472	0.0133552025198558	0.0126440024839307	-0.000711200035925046
chrN00001:15921358:15924026:clu_127_+	-0.134685261187137	0.969774810514342	0.961138570774426	-0.00863623973991656
chrN00001:15922028:15924026:clu_127_+	0.315148244856609	0.0168699869658019	0.0262174267416435	0.00934743977584161
chrN00001:15934479:15935789:clu_128_+	-3.5197682440474	0.990648133618089	0.97697596608097	-0.0136721675371186
chrN00001:15934479:15938063:clu_128_+	6.61751386748209	3.59541677234866e-07	0.00895940929400951	0.00895904975233228
chrN00001:15936593:15938063:clu_128_+	-3.09774562343469	0.00935150684023411	0.0140646246250204	0.00471311778478631
chrN00001:15964359:15974443:clu_129_+	0.479393168276802	0.941972800029838	0.976929299988921	0.0349564999590839
chrN00001:15964359:15974553:clu_129_+	-0.479393168276802	0.0580271999701624	0.0230707000110786	-0.0349564999590838
chrN00001:2941656:2942656:clu_13_+	-0.739582784397836	0.998413957085425	0.993075633272326	-0.00533832381309907
chrN00001:2942560:2942656:clu_13_+	0.739582784397836	0.00158604291457528	0.00692436672767425	0.00533832381309897
