cluster	genes
chrmt_fAlb:clu_28515_-	NA
chrmt_fAlb:clu_28516_-	NA
chrmt_fAlb:clu_28517_-	NA
chrmt_fAlb:clu_28518_-	NA
chrmt_fAlb:clu_28519_-	NA
chrmt_fAlb:clu_28520_-	NA
chrmt_fAlb:clu_28521_-	NA
chrmt_fAlb:clu_28522_-	NA
chrmt_fAlb:clu_28523_+	NA
chrmt_fAlb:clu_28524_+	NA
chrmt_fAlb:clu_28525_+	NA
chrmt_fAlb:clu_28526_+	NA
chrN00001:clu_1_+	NA
chrN00001:clu_10_+	ENSFALG00000028957
chrN00001:clu_100_+	ENSFALG00000012182
chrN00001:clu_101_+	ENSFALG00000012182
chrN00001:clu_102_+	ENSFALG00000012200
chrN00001:clu_106_+	ENSFALG00000023321
chrN00001:clu_107_+	ENSFALG00000023321
chrN00001:clu_108_+	ENSFALG00000012277
chrN00001:clu_109_+	NA
chrN00001:clu_110_+	NA
chrN00001:clu_111_+	ENSFALG00000012433
chrN00001:clu_114_+	ENSFALG00000012433
chrN00001:clu_118_+	NA
chrN00001:clu_119_+	ENSFALG00000012529
chrN00001:clu_12_+	ENSFALG00000023706
chrN00001:clu_128_+	ENSFALG00000012564
chrN00001:clu_129_+	ENSFALG00000012593
chrN00001:clu_13_+	ENSFALG00000023706
chrN00001:clu_130_+	ENSFALG00000012593
chrN00001:clu_131_+	ENSFALG00000012593
chrN00001:clu_132_+	ENSFALG00000012593
chrN00001:clu_133_+	ENSFALG00000012593
chrN00001:clu_137_+	ENSFALG00000012602
chrN00001:clu_138_+	ENSFALG00000012711
chrN00001:clu_139_+	NA
chrN00001:clu_14_+	ENSFALG00000011001
chrN00001:clu_143_+	ENSFALG00000012653
chrN00001:clu_144_+	ENSFALG00000012653
chrN00001:clu_145_+	ENSFALG00000012653
chrN00001:clu_146_+	ENSFALG00000012671
chrN00001:clu_147_+	ENSFALG00000012671
chrN00001:clu_149_+	ENSFALG00000012711
chrN00001:clu_15_+	ENSFALG00000023025
chrN00001:clu_150_+	ENSFALG00000012711
chrN00001:clu_151_+	NA
chrN00001:clu_154_+	NA
chrN00001:clu_155_+	ENSFALG00000012800
chrN00001:clu_156_+	ENSFALG00000012800
chrN00001:clu_16_+	NA
chrN00001:clu_162_+	NA
chrN00001:clu_163_+	NA
chrN00001:clu_164_+	ENSFALG00000012835
chrN00001:clu_167_+	NA
chrN00001:clu_168_+	NA
chrN00001:clu_169_+	NA
chrN00001:clu_17_+	ENSFALG00000024864,ENSFALG00000028887
chrN00001:clu_170_+	ENSFALG00000012875
chrN00001:clu_173_+	ENSFALG00000012907
chrN00001:clu_177_+	ENSFALG00000012907
chrN00001:clu_186_+	ENSFALG00000012933
chrN00001:clu_187_+	NA
chrN00001:clu_188_+	NA
