intron	logef	Ficedula_albicollis	Ficedula_hypoleuca	deltapsi
chrN00001:12873940:12885997:clu_103_+	-0.0872284668457617	0.934363695665924	0.92281900420835	-0.0115446914575743
chrN00001:12877471:12885997:clu_103_+	0.0872284668457617	0.0656363043340761	0.0771809957916504	0.0115446914575743
chrN00001:12950400:12950933:clu_104_+	-0.21156776935513	0.982233393144586	0.973126482309789	-0.0091069108347972
chrN00001:12950400:12950936:clu_104_+	0.21156776935513	0.0177666068554139	0.026873517690211	0.00910691083479712
chrN00001:12951174:12952599:clu_105_+	-0.14222690131358	0.988824044309271	0.985201173104622	-0.00362287120464966
chrN00001:12951174:12952696:clu_105_+	0.14222690131358	0.0111759556907287	0.0147988268953784	0.0036228712046497
chrN00001:2844792:2845842:clu_11_+	0.174546744049062	0.0174532828582619	0.0245658198898987	0.00711253703163676
chrN00001:2844792:2914978:clu_11_+	-0.174546744049062	0.982546717141738	0.975434180110101	-0.00711253703163672
chrN00001:14420514:14424099:clu_112_+	-0.0307036345773692	0.420615866621508	0.405728279560461	-0.0148875870610473
chrN00001:14420514:14424102:clu_112_+	0.0307036345773692	0.579384133378492	0.594271720439539	0.0148875870610473
chrN00001:14428211:14428683:clu_113_+	0.154020345646113	0.02223859700689	0.0300204666303563	0.00778186962346629
chrN00001:14428211:14428692:clu_113_+	-0.154020345646113	0.97776140299311	0.969979533369644	-0.00778186962346628
chrN00001:14543366:14567093:clu_115_+	0.560630004559343	0.47279790377115	0.622322864552614	0.149524960781464
chrN00001:14543366:14595586:clu_115_+	0.64868041878244	0.110772820342755	0.159225725892057	0.0484529055493026
chrN00001:14567183:14595586:clu_115_+	-0.179707076802387	0.296854262134949	0.1863627862246	-0.110491475910349
chrN00001:14567261:14595586:clu_115_+	-1.0296033465394	0.119575013751146	0.0320886233307282	-0.0874863904204178
chrN00001:14624375:14628873:clu_116_+	0.342647326393726	0.0734088928943701	0.135852628613156	0.0624437357187862
chrN00001:14624375:14628876:clu_116_+	-0.342647326393726	0.92659110710563	0.864147371386844	-0.0624437357187861
chrN00001:14655813:14674474:clu_117_+	0.234452070246443	0.672957421012965	0.706514770705175	0.0335573496922108
chrN00001:14658431:14674474:clu_117_+	0.475344421079223	0.172439560406607	0.230350301447068	0.057910741040461
chrN00001:14667699:14674474:clu_117_+	-0.709796491325665	0.154603018580429	0.063134927847757	-0.0914680907326717
chrN00001:15394444:15478601:clu_120_+	-0.0694824281747441	0.153818089386095	0.134870646899999	-0.0189474424860959
chrN00001:15394444:15526015:clu_120_+	0.103045999934803	0.721919884170087	0.752189343352695	0.0302694591826079
chrN00001:15478642:15526015:clu_120_+	-0.033563571760059	0.124262026443818	0.112940009747306	-0.0113220166965121
chrN00001:15584447:15592543:clu_121_+	-0.262876118009359	0.178205493022714	0.113618080142521	-0.064587412880193
chrN00001:15584453:15592543:clu_121_+	0.262876118009359	0.821794506977286	0.886381919857479	0.064587412880193
chrN00001:15592652:15593410:clu_122_+	-0.259082940576512	0.325597284842766	0.339714358443127	0.0141170736003609
chrN00001:15592652:15600955:clu_122_+	0.617293675424407	0.0147603956062345	0.0369944567750313	0.0222340611687968
chrN00001:15593568:15600955:clu_122_+	-0.358210734847895	0.659642319550999	0.623291184781841	-0.0363511347691577
chrN00001:15787930:15797333:clu_123_+	0.0597849606734166	0.656643369646384	0.683075394011297	0.0264320243649133
chrN00001:15787942:15797333:clu_123_+	-0.0597849606734166	0.343356630353616	0.316924605988703	-0.0264320243649133
chrN00001:15797491:15808823:clu_124_+	-0.193373415903209	0.343833885735097	0.334560063427819	-0.00927382230727841
chrN00001:15797491:15808922:clu_124_+	-0.101240215785505	0.00751166682711277	0.00801446764308202	0.000502800815969248
chrN00001:15797491:15812631:clu_124_+	0.806032420318996	0.00533480968646726	0.014102002696723	0.00876719301025577
chrN00001:15797491:15818266:clu_124_+	0.152718630708577	0.00935961584557437	0.0128732828778697	0.00351366703229534
chrN00001:15808848:15812631:clu_124_+	-0.308301015280484	0.0460045126972213	0.0399037246530832	-0.00610078804413815
