cluster	genes
chrN00052:clu_14132_+	ENSFALG00000026912
chrN00052:clu_14176_-	ENSFALG00000004684
chrN00052:clu_14187_-	ENSFALG00000004762
chrN00052:clu_14298_-	ENSFALG00000006061
chrN00053:clu_14429_-	ENSFALG00000003646
chrN00054:clu_14603_-	ENSFALG00000012167
chrN00056:clu_14760_-	NA
chrN00056:clu_14962_+	ENSFALG00000009913
chrN00057:clu_15035_-	ENSFALG00000007851
chrN00057:clu_15207_+	ENSFALG00000025760
chrN00058:clu_15231_+	ENSFALG00000008884
chrN00058:clu_15232_+	ENSFALG00000008884
chrN00058:clu_15274_-	ENSFALG00000008961
chrN00061:clu_15478_-	ENSFALG00000000107
chrN00061:clu_15548_+	ENSFALG00000000223
chrN00063:clu_15665_+	ENSFALG00000010455
chrN00063:clu_15780_-	ENSFALG00000010814
chrN00063:clu_15789_-	ENSFALG00000010938
chrN00066:clu_16207_-	NA
chrN00066:clu_16211_-	ENSFALG00000025934
chrN00066:clu_16212_-	ENSFALG00000027113
chrN00066:clu_16237_-	ENSFALG00000005246
chrN00067:clu_16322_-	NA
chrN00067:clu_16349_+	NA
chrN00069:clu_16683_+	ENSFALG00000001912
chrN00071:clu_16920_+	NA
chrN00072:clu_16965_+	ENSFALG00000027545
chrN00072:clu_16968_+	ENSFALG00000027545
chrN00072:clu_17032_+	NA
chrN00073:clu_17109_-	ENSFALG00000005744
chrN00073:clu_17173_+	ENSFALG00000005838
chrN00075:clu_17470_-	ENSFALG00000003711
chrN00075:clu_17479_+	ENSFALG00000002401
chrN00075:clu_17483_+	ENSFALG00000002425
chrN00075:clu_17489_+	ENSFALG00000002448
chrN00075:clu_17490_+	ENSFALG00000002448
chrN00075:clu_17521_+	NA
chrN00076:clu_17648_+	ENSFALG00000013176
chrN00077:clu_17725_-	ENSFALG00000010779
chrN00078:clu_17789_-	ENSFALG00000027375
chrN00080:clu_17987_+	ENSFALG00000026032
chrN00082:clu_18136_-	ENSFALG00000004411
chrN00084:clu_18242_+	ENSFALG00000026776
chrN00086:clu_18451_-	ENSFALG00000024297
chrN00087:clu_18538_+	NA
chrN00088:clu_18583_-	ENSFALG00000007806
chrN00089:clu_18872_-	ENSFALG00000005312
chrN00092:clu_19022_-	ENSFALG00000013589
chrN00092:clu_19042_-	NA
chrN00093:clu_19132_+	ENSFALG00000004046
chrN00095:clu_19363_-	ENSFALG00000010345
chrN00095:clu_19366_-	ENSFALG00000010350
chrN00099:clu_19627_-	ENSFALG00000005442
chrN00099:clu_19648_-	ENSFALG00000005639
chrN00100:clu_19677_-	ENSFALG00000013462
chrN00101:clu_19730_+	NA
chrN00101:clu_19789_-	ENSFALG00000003553
chrN00102:clu_19809_-	NA
chrN00105:clu_20061_+	ENSFALG00000011040
chrN00106:clu_20107_-	ENSFALG00000011301
chrN00107:clu_20175_-	NA
chrN00109:clu_20296_-	ENSFALG00000001183
chrN00110:clu_20329_-	ENSFALG00000000529
chrN00110:clu_20333_-	ENSFALG00000000560
chrN00110:clu_20340_-	NA
chrN00110:clu_20365_+	ENSFALG00000000564
chrN00110:clu_20400_+	ENSFALG00000000766
chrN00112:clu_20453_-	ENSFALG00000019928
chrN00113:clu_20552_+	ENSFALG00000012544
chrN00113:clu_20553_+	ENSFALG00000012544
chrN00114:clu_20607_-	ENSFALG00000027458
chrN00118:clu_20907_+	ENSFALG00000013885
chrN00123:clu_21117_-	NA
chrN00123:clu_21144_+	NA
chrN00125:clu_21284_+	ENSFALG00000013524
chrN00128:clu_21357_+	ENSFALG00000012895
chrN00128:clu_21410_-	ENSFALG00000013180
chrN00130:clu_21481_+	ENSFALG00000028177
chrN00135:clu_21800_-	ENSFALG00000012946
chrN00136:clu_21822_-	ENSFALG00000009283
chrN00138:clu_21879_-	ENSFALG00000005517
chrN00139:clu_21923_-	ENSFALG00000010627
chrN00139:clu_21974_+	ENSFALG00000010720
chrN00140:clu_22009_+	ENSFALG00000024209
chrN00145:clu_22269_-	NA
chrN00147:clu_22367_-	ENSFALG00000000267
chrN00148:clu_22399_-	NA
chrN00154:clu_22617_-	ENSFALG00000026102
chrN00158:clu_22791_+	ENSFALG00000005166
chrN00158:clu_22792_+	ENSFALG00000005214
chrN00159:clu_22883_+	NA
chrN00160:clu_22908_+	NA
chrN00160:clu_22930_+	ENSFALG00000012549
chrN00160:clu_22956_-	ENSFALG00000012502
chrN00161:clu_22999_+	ENSFALG00000023964
chrN00162:clu_23049_+	ENSFALG00000011734
chrN00165:clu_23196_-	ENSFALG00000012688
chrN00168:clu_23388_+	NA
chrN00168:clu_23404_+	NA
chrN00169:clu_23413_-	NA
chrN00169:clu_23416_-	ENSFALG00000026354
chrN00171:clu_23500_-	ENSFALG00000000050
chrN00171:clu_23541_-	NA
chrN00171:clu_23553_+	ENSFALG00000024288
chrN00171:clu_23576_+	ENSFALG00000028073,ENSFALG00000023676
chrN00175:clu_23657_-	ENSFALG00000010327
chrN00175:clu_23659_-	ENSFALG00000010327
chrN00176:clu_23675_-	ENSFALG00000012837
chrN00176:clu_23679_-	ENSFALG00000028630
chrN00177:clu_23748_+	ENSFALG00000009271
chrN00178:clu_23766_+	ENSFALG00000001682
chrN00178:clu_23767_+	ENSFALG00000001682
chrN00179:clu_23799_-	ENSFALG00000025701
chrN00181:clu_23806_-	ENSFALG00000000461
chrN00183:clu_23888_+	NA
chrN00185:clu_23949_+	NA
chrN00186:clu_23967_-	NA
chrN00187:clu_24044_-	ENSFALG00000011787
chrN00190:clu_24229_+	ENSFALG00000008500
chrN00194:clu_24432_+	ENSFALG00000001009
chrN00195:clu_24480_+	NA
chrN00196:clu_24522_+	ENSFALG00000005773
chrN00203:clu_24753_+	NA
chrN00206:clu_24878_-	ENSFALG00000003410
chrN00210:clu_24948_-	ENSFALG00000000628
chrN00210:clu_24982_-	ENSFALG00000024118
chrN00210:clu_25005_+	ENSFALG00000000677
chrN00210:clu_25006_+	ENSFALG00000000677
chrN00210:clu_25031_+	ENSFALG00000000804
chrN00210:clu_25043_+	ENSFALG00000026798
chrN00214:clu_25154_-	ENSFALG00000008398
chrN00216:clu_25206_-	ENSFALG00000002244
chrN00216:clu_25207_-	ENSFALG00000002244
chrN00217:clu_25231_-	ENSFALG00000001033
chrN00217:clu_25239_-	NA
chrN00217:clu_25241_-	NA
chrN00221:clu_25317_-	NA
chrN00229:clu_25571_-	ENSFALG00000001059
chrN00237:clu_25858_-	ENSFALG00000009791
chrN00237:clu_25859_-	NA
chrN00237:clu_25862_-	ENSFALG00000009807
chrN00237:clu_25911_+	ENSFALG00000009803
chrN00246:clu_26079_+	NA
chrN00247:clu_26105_+	ENSFALG00000024650
chrN00249:clu_26130_-	NA
chrN00249:clu_26142_+	ENSFALG00000009578
chrN00251:clu_26231_-	NA
chrN00254:clu_26319_-	ENSFALG00000028526,ENSFALG00000025926
chrN00258:clu_26360_+	ENSFALG00000000833
chrN00261:clu_26403_-	NA
chrN00262:clu_26408_-	NA
chrN00263:clu_26461_+	NA
chrN00276:clu_26649_-	NA
chrN00276:clu_26653_-	NA
chrN00278:clu_26685_+	ENSFALG00000013476
chrN00284:clu_26769_+	ENSFALG00000001751
chrN00291:clu_26875_+	NA
chrN00298:clu_26973_+	NA
chrN00300:clu_27022_+	ENSFALG00000001671
chrN00311:clu_27168_-	NA
chrN00319:clu_27266_+	NA
chrN00319:clu_27267_+	NA
chrN00322:clu_27316_-	NA
chrN00340:clu_27482_+	ENSFALG00000012320
chrN00348:clu_27578_+	NA
chrN00364:clu_27681_+	NA
chrN00389:clu_27815_-	NA
chrN00402:clu_27847_+	NA
chrN00416:clu_27911_-	ENSFALG00000008807
chrN00417:clu_27921_+	NA
chrN00417:clu_27922_+	NA
chrN00422:clu_28569_-	NA
chrN00430:clu_27953_-	NA
chrN00431:clu_27954_-	NA
chrN00433:clu_27964_+	NA
chrN00440:clu_27967_+	NA
chrN00523:clu_28111_+	NA
chrN00570:clu_28176_-	NA
chrN00584:clu_28190_-	NA
chrN00676:clu_28763_-	NA
chrN00697:clu_28259_+	NA
chrN00760:clu_28309_+	NA
chrN01242:clu_28404_+	NA
chrN01242:clu_28406_+	NA
chrN01285:clu_28424_+	NA
chrN01360:clu_28452_+	NA
